Date,Product Name,Category,Quantity Sold
2023-10-13,Cucumbers,Bakery,90
2023-10-14,Cucumbers,Bakery,72
2023-10-15,Cucumbers,Bakery,89
2023-10-16,Cucumbers,Bakery,23
2023-10-17,Cucumbers,Bakery,38
2023-10-18,Cucumbers,Bakery,17
2023-10-19,Cucumbers,Bakery,58
2023-10-20,Cucumbers,Bakery,51
2023-10-21,Cucumbers,Bakery,80
2023-10-22,Cucumbers,Bakery,45
2023-10-23,Cucumbers,Bakery,91
2023-10-24,Cucumbers,Bakery,89
2023-10-25,Cucumbers,Bakery,96
2023-10-26,Cucumbers,Bakery,25
2023-10-27,Cucumbers,Bakery,32
2023-10-28,Cucumbers,Bakery,19
2023-10-29,Cucumbers,Bakery,60
2023-10-30,Cucumbers,Bakery,86
2023-10-31,Cucumbers,Bakery,83
2023-11-01,Cucumbers,Bakery,11
2023-11-02,Cucumbers,Bakery,86
2023-11-03,Cucumbers,Bakery,84
2023-11-04,Cucumbers,Bakery,47
2023-11-05,Cucumbers,Bakery,80
2023-11-06,Cucumbers,Bakery,43
2023-11-07,Cucumbers,Bakery,75
2023-11-08,Cucumbers,Bakery,6
2023-11-09,Cucumbers,Bakery,61
2023-11-10,Cucumbers,Bakery,67
2023-11-11,Cucumbers,Bakery,62
2023-11-12,Cucumbers,Bakery,19
2023-11-13,Cucumbers,Bakery,74
2023-11-14,Cucumbers,Bakery,32
2023-11-15,Cucumbers,Bakery,85
2023-11-16,Cucumbers,Bakery,31
2023-11-17,Cucumbers,Bakery,70
2023-11-18,Cucumbers,Bakery,4
2023-11-19,Cucumbers,Bakery,35
2023-11-20,Cucumbers,Bakery,13
2023-11-21,Cucumbers,Bakery,39
2023-11-22,Cucumbers,Bakery,76
2023-11-23,Cucumbers,Bakery,87
2023-11-24,Cucumbers,Bakery,58
2023-11-25,Cucumbers,Bakery,3
2023-11-26,Cucumbers,Bakery,17
2023-11-27,Cucumbers,Bakery,58
2023-11-28,Cucumbers,Bakery,86
2023-11-29,Cucumbers,Bakery,46
2023-11-30,Cucumbers,Bakery,29
2023-12-01,Cucumbers,Bakery,91
2023-12-02,Cucumbers,Bakery,7
2023-12-03,Cucumbers,Bakery,51
2023-12-04,Cucumbers,Bakery,68
2023-12-05,Cucumbers,Bakery,64
2023-12-06,Cucumbers,Bakery,11
2023-12-07,Cucumbers,Bakery,97
2023-12-08,Cucumbers,Bakery,35
2023-12-09,Cucumbers,Bakery,59
2023-12-10,Cucumbers,Bakery,28
2023-12-11,Cucumbers,Bakery,82
2023-12-12,Cucumbers,Bakery,6
2023-12-13,Cucumbers,Bakery,87
2023-12-14,Cucumbers,Bakery,98
2023-12-15,Cucumbers,Bakery,16
2023-12-16,Cucumbers,Bakery,87
2023-12-17,Cucumbers,Bakery,35
2023-12-18,Cucumbers,Bakery,6
2023-12-19,Cucumbers,Bakery,88
2023-12-20,Cucumbers,Bakery,15
2023-12-21,Cucumbers,Bakery,9
2023-12-22,Cucumbers,Bakery,46
2023-12-23,Cucumbers,Bakery,8
2023-12-24,Cucumbers,Bakery,33
2023-12-25,Cucumbers,Bakery,26
2023-12-26,Cucumbers,Bakery,17
2023-12-27,Cucumbers,Bakery,95
2023-12-28,Cucumbers,Bakery,11
2023-12-29,Cucumbers,Bakery,26
2023-12-30,Cucumbers,Bakery,68
2023-12-31,Cucumbers,Bakery,72
2024-01-01,Cucumbers,Bakery,88
2024-01-02,Cucumbers,Bakery,87
2024-01-03,Cucumbers,Bakery,78
2024-01-04,Cucumbers,Bakery,39
2024-01-05,Cucumbers,Bakery,83
2024-01-06,Cucumbers,Bakery,66
2024-01-07,Cucumbers,Bakery,68
2024-01-08,Cucumbers,Bakery,52
2024-01-09,Cucumbers,Bakery,11
2024-01-10,Cucumbers,Bakery,96
2024-01-11,Cucumbers,Bakery,83
2024-01-12,Cucumbers,Bakery,89
2024-01-13,Cucumbers,Bakery,50
2024-01-14,Cucumbers,Bakery,52
2024-01-15,Cucumbers,Bakery,50
2024-01-16,Cucumbers,Bakery,62
2024-01-17,Cucumbers,Bakery,55
2024-01-18,Cucumbers,Bakery,33
2024-01-19,Cucumbers,Bakery,53
2024-01-20,Cucumbers,Bakery,13
2024-01-21,Cucumbers,Bakery,57
2024-01-22,Cucumbers,Bakery,52
2024-01-23,Cucumbers,Bakery,3
2024-01-24,Cucumbers,Bakery,15
2024-01-25,Cucumbers,Bakery,94
2024-01-26,Cucumbers,Bakery,75
2024-01-27,Cucumbers,Bakery,68
2024-01-28,Cucumbers,Bakery,28
2024-01-29,Cucumbers,Bakery,39
2024-01-30,Cucumbers,Bakery,56
2024-01-31,Cucumbers,Bakery,30
2024-02-01,Cucumbers,Bakery,48
2024-02-02,Cucumbers,Bakery,54
2024-02-03,Cucumbers,Bakery,66
2024-02-04,Cucumbers,Bakery,78
2024-02-05,Cucumbers,Bakery,64
2024-02-06,Cucumbers,Bakery,57
2024-02-07,Cucumbers,Bakery,55
2024-02-08,Cucumbers,Bakery,83
2024-02-09,Cucumbers,Bakery,95
2024-02-10,Cucumbers,Bakery,97
2024-02-11,Cucumbers,Bakery,60
2024-02-12,Cucumbers,Bakery,74
2024-02-13,Cucumbers,Bakery,68
2024-02-14,Cucumbers,Bakery,36
2024-02-15,Cucumbers,Bakery,29
2024-02-16,Cucumbers,Bakery,42
2024-02-17,Cucumbers,Bakery,49
2024-02-18,Cucumbers,Bakery,77
2024-02-19,Cucumbers,Bakery,16
2024-02-20,Cucumbers,Bakery,95
