Date,Product Name,Category,Quantity Sold
2023-10-13,Crackers,Beverages,76
2023-10-14,Crackers,Beverages,69
2023-10-15,Crackers,Beverages,28
2023-10-16,Crackers,Beverages,39
2023-10-17,Crackers,Beverages,34
2023-10-18,Crackers,Beverages,62
2023-10-19,Crackers,Beverages,12
2023-10-20,Crackers,Beverages,69
2023-10-21,Crackers,Beverages,54
2023-10-22,Crackers,Beverages,73
2023-10-23,Crackers,Beverages,37
2023-10-24,Crackers,Beverages,33
2023-10-25,Crackers,Beverages,49
2023-10-26,Crackers,Beverages,1
2023-10-27,Crackers,Beverages,47
2023-10-28,Crackers,Beverages,37
2023-10-29,Crackers,Beverages,9
2023-10-30,Crackers,Beverages,18
2023-10-31,Crackers,Beverages,44
2023-11-01,Crackers,Beverages,70
2023-11-02,Crackers,Beverages,63
2023-11-03,Crackers,Beverages,3
2023-11-04,Crackers,Beverages,18
2023-11-05,Crackers,Beverages,37
2023-11-06,Crackers,Beverages,20
2023-11-07,Crackers,Beverages,36
2023-11-08,Crackers,Beverages,4
2023-11-09,Crackers,Beverages,17
2023-11-10,Crackers,Beverages,57
2023-11-11,Crackers,Beverages,49
2023-11-12,Crackers,Beverages,53
2023-11-13,Crackers,Beverages,10
2023-11-14,Crackers,Beverages,29
2023-11-15,Crackers,Beverages,76
2023-11-16,Crackers,Beverages,9
2023-11-17,Crackers,Beverages,21
2023-11-18,Crackers,Beverages,1
2023-11-19,Crackers,Beverages,36
2023-11-20,Crackers,Beverages,6
2023-11-21,Crackers,Beverages,18
2023-11-22,Crackers,Beverages,72
2023-11-23,Crackers,Beverages,11
2023-11-24,Crackers,Beverages,69
2023-11-25,Crackers,Beverages,21
2023-11-26,Crackers,Beverages,9
2023-11-27,Crackers,Beverages,2
2023-11-28,Crackers,Beverages,4
2023-11-29,Crackers,Beverages,12
2023-11-30,Crackers,Beverages,39
2023-12-01,Crackers,Beverages,60
2023-12-02,Crackers,Beverages,34
2023-12-03,Crackers,Beverages,59
2023-12-04,Crackers,Beverages,72
2023-12-05,Crackers,Beverages,6
2023-12-06,Crackers,Beverages,32
2023-12-07,Crackers,Beverages,28
2023-12-08,Crackers,Beverages,75
2023-12-09,Crackers,Beverages,41
2023-12-10,Crackers,Beverages,72
2023-12-11,Crackers,Beverages,27
2023-12-12,Crackers,Beverages,53
2023-12-13,Crackers,Beverages,11
2023-12-14,Crackers,Beverages,22
2023-12-15,Crackers,Beverages,5
2023-12-16,Crackers,Beverages,34
2023-12-17,Crackers,Beverages,62
2023-12-18,Crackers,Beverages,31
2023-12-19,Crackers,Beverages,47
2023-12-20,Crackers,Beverages,37
2023-12-21,Crackers,Beverages,26
2023-12-22,Crackers,Beverages,43
2023-12-23,Crackers,Beverages,61
2023-12-24,Crackers,Beverages,38
2023-12-25,Crackers,Beverages,32
2023-12-26,Crackers,Beverages,69
2023-12-27,Crackers,Beverages,62
2023-12-28,Crackers,Beverages,25
