Date,Product Name,Category,Quantity Sold
2023-10-13,Oatmeal,Condiments,3
2023-10-14,Oatmeal,Condiments,9
2023-10-15,Oatmeal,Condiments,2
2023-10-16,Oatmeal,Condiments,15
2023-10-17,Oatmeal,Condiments,5
2023-10-18,Oatmeal,Condiments,10
2023-10-19,Oatmeal,Condiments,15
2023-10-20,Oatmeal,Condiments,10
2023-10-21,Oatmeal,Condiments,2
2023-10-22,Oatmeal,Condiments,6
2023-10-23,Oatmeal,Condiments,4
2023-10-24,Oatmeal,Condiments,7
2023-10-25,Oatmeal,Condiments,13
2023-10-26,Oatmeal,Condiments,1
2023-10-27,Oatmeal,Condiments,8
2023-10-28,Oatmeal,Condiments,2
2023-10-29,Oatmeal,Condiments,15
2023-10-30,Oatmeal,Condiments,15
2023-10-31,Oatmeal,Condiments,4
2023-11-01,Oatmeal,Condiments,11
2023-11-02,Oatmeal,Condiments,13
2023-11-03,Oatmeal,Condiments,7
2023-11-04,Oatmeal,Condiments,14
2023-11-05,Oatmeal,Condiments,15
2023-11-06,Oatmeal,Condiments,8
2023-11-07,Oatmeal,Condiments,9
2023-11-08,Oatmeal,Condiments,5
2023-11-09,Oatmeal,Condiments,9
2023-11-10,Oatmeal,Condiments,9
2023-11-11,Oatmeal,Condiments,3
2023-11-12,Oatmeal,Condiments,7
2023-11-13,Oatmeal,Condiments,8
2023-11-14,Oatmeal,Condiments,1
2023-11-15,Oatmeal,Condiments,11
2023-11-16,Oatmeal,Condiments,10
2023-11-17,Oatmeal,Condiments,5
2023-11-18,Oatmeal,Condiments,1
2023-11-19,Oatmeal,Condiments,3
2023-11-20,Oatmeal,Condiments,2
2023-11-21,Oatmeal,Condiments,13
2023-11-22,Oatmeal,Condiments,2
2023-11-23,Oatmeal,Condiments,4
2023-11-24,Oatmeal,Condiments,5
2023-11-25,Oatmeal,Condiments,11
2023-11-26,Oatmeal,Condiments,1
2023-11-27,Oatmeal,Condiments,11
2023-11-28,Oatmeal,Condiments,6
2023-11-29,Oatmeal,Condiments,11
2023-11-30,Oatmeal,Condiments,11
2023-12-01,Oatmeal,Condiments,5
2023-12-02,Oatmeal,Condiments,13
2023-12-03,Oatmeal,Condiments,4
2023-12-04,Oatmeal,Condiments,6
