Date,Product Name,Category,Quantity Sold
2023-10-13,Wine,Dairy,21
2023-10-14,Wine,Dairy,2
2023-10-15,Wine,Dairy,26
2023-10-16,Wine,Dairy,39
2023-10-17,Wine,Dairy,17
2023-10-18,Wine,Dairy,36
2023-10-19,Wine,Dairy,34
2023-10-20,Wine,Dairy,19
2023-10-21,Wine,Dairy,32
2023-10-22,Wine,Dairy,22
2023-10-23,Wine,Dairy,45
2023-10-24,Wine,Dairy,39
2023-10-25,Wine,Dairy,18
2023-10-26,Wine,Dairy,24
2023-10-27,Wine,Dairy,1
2023-10-28,Wine,Dairy,41
2023-10-29,Wine,Dairy,2
2023-10-30,Wine,Dairy,40
2023-10-31,Wine,Dairy,24
2023-11-01,Wine,Dairy,40
2023-11-02,Wine,Dairy,2
2023-11-03,Wine,Dairy,27
2023-11-04,Wine,Dairy,2
2023-11-05,Wine,Dairy,23
2023-11-06,Wine,Dairy,33
2023-11-07,Wine,Dairy,34
2023-11-08,Wine,Dairy,32
2023-11-09,Wine,Dairy,3
2023-11-10,Wine,Dairy,27
2023-11-11,Wine,Dairy,12
2023-11-12,Wine,Dairy,8
2023-11-13,Wine,Dairy,20
2023-11-14,Wine,Dairy,17
2023-11-15,Wine,Dairy,45
2023-11-16,Wine,Dairy,33
2023-11-17,Wine,Dairy,11
2023-11-18,Wine,Dairy,9
2023-11-19,Wine,Dairy,34
2023-11-20,Wine,Dairy,44
2023-11-21,Wine,Dairy,43
2023-11-22,Wine,Dairy,7
2023-11-23,Wine,Dairy,16
2023-11-24,Wine,Dairy,27
2023-11-25,Wine,Dairy,15
2023-11-26,Wine,Dairy,24
2023-11-27,Wine,Dairy,37
2023-11-28,Wine,Dairy,49
2023-11-29,Wine,Dairy,40
2023-11-30,Wine,Dairy,19
2023-12-01,Wine,Dairy,23
2023-12-02,Wine,Dairy,39
2023-12-03,Wine,Dairy,31
2023-12-04,Wine,Dairy,30
2023-12-05,Wine,Dairy,7
2023-12-06,Wine,Dairy,45
2023-12-07,Wine,Dairy,3
2023-12-08,Wine,Dairy,38
2023-12-09,Wine,Dairy,48
2023-12-10,Wine,Dairy,30
2023-12-11,Wine,Dairy,10
2023-12-12,Wine,Dairy,34
2023-12-13,Wine,Dairy,13
2023-12-14,Wine,Dairy,39
2023-12-15,Wine,Dairy,13
2023-12-16,Wine,Dairy,25
2023-12-17,Wine,Dairy,41
2023-12-18,Wine,Dairy,34
2023-12-19,Wine,Dairy,40
2023-12-20,Wine,Dairy,40
2023-12-21,Wine,Dairy,40
2023-12-22,Wine,Dairy,34
2023-12-23,Wine,Dairy,15
2023-12-24,Wine,Dairy,3
2023-12-25,Wine,Dairy,46
2023-12-26,Wine,Dairy,22
2023-12-27,Wine,Dairy,34
2023-12-28,Wine,Dairy,5
2023-12-29,Wine,Dairy,41
2023-12-30,Wine,Dairy,22
2023-12-31,Wine,Dairy,29
2024-01-01,Wine,Dairy,8
2024-01-02,Wine,Dairy,34
2024-01-03,Wine,Dairy,4
2024-01-04,Wine,Dairy,25
2024-01-05,Wine,Dairy,23
2024-01-06,Wine,Dairy,25
2024-01-07,Wine,Dairy,34
2024-01-08,Wine,Dairy,44
2024-01-09,Wine,Dairy,6
2024-01-10,Wine,Dairy,34
2024-01-11,Wine,Dairy,21
2024-01-12,Wine,Dairy,44
2024-01-13,Wine,Dairy,30
2024-01-14,Wine,Dairy,3
2024-01-15,Wine,Dairy,15
2024-01-16,Wine,Dairy,21
2024-01-17,Wine,Dairy,19
2024-01-18,Wine,Dairy,19
2024-01-19,Wine,Dairy,49
2024-01-20,Wine,Dairy,46
2024-01-21,Wine,Dairy,34
2024-01-22,Wine,Dairy,14
2024-01-23,Wine,Dairy,4
2024-01-24,Wine,Dairy,31
2024-01-25,Wine,Dairy,46
2024-01-26,Wine,Dairy,11
2024-01-27,Wine,Dairy,44
2024-01-28,Wine,Dairy,45
2024-01-29,Wine,Dairy,11
2024-01-30,Wine,Dairy,49
2024-01-31,Wine,Dairy,4
2024-02-01,Wine,Dairy,16
2024-02-02,Wine,Dairy,38
