Date,Product Name,Category,Quantity Sold
2023-10-13,Rice,Frozen,59
2023-10-14,Rice,Frozen,31
2023-10-15,Rice,Frozen,21
2023-10-16,Rice,Frozen,40
2023-10-17,Rice,Frozen,61
2023-10-18,Rice,Frozen,51
2023-10-19,Rice,Frozen,9
2023-10-20,Rice,Frozen,21
2023-10-21,Rice,Frozen,9
2023-10-22,Rice,Frozen,10
2023-10-23,Rice,Frozen,41
2023-10-24,Rice,Frozen,44
2023-10-25,Rice,Frozen,12
2023-10-26,Rice,Frozen,11
2023-10-27,Rice,Frozen,20
2023-10-28,Rice,Frozen,50
2023-10-29,Rice,Frozen,64
2023-10-30,Rice,Frozen,64
2023-10-31,Rice,Frozen,63
2023-11-01,Rice,Frozen,39
2023-11-02,Rice,Frozen,33
2023-11-03,Rice,Frozen,64
2023-11-04,Rice,Frozen,7
2023-11-05,Rice,Frozen,1
2023-11-06,Rice,Frozen,14
2023-11-07,Rice,Frozen,45
2023-11-08,Rice,Frozen,21
2023-11-09,Rice,Frozen,45
2023-11-10,Rice,Frozen,49
2023-11-11,Rice,Frozen,8
2023-11-12,Rice,Frozen,17
2023-11-13,Rice,Frozen,62
2023-11-14,Rice,Frozen,45
2023-11-15,Rice,Frozen,54
2023-11-16,Rice,Frozen,63
2023-11-17,Rice,Frozen,49
2023-11-18,Rice,Frozen,15
2023-11-19,Rice,Frozen,2
2023-11-20,Rice,Frozen,13
2023-11-21,Rice,Frozen,52
2023-11-22,Rice,Frozen,29
2023-11-23,Rice,Frozen,28
2023-11-24,Rice,Frozen,8
2023-11-25,Rice,Frozen,35
2023-11-26,Rice,Frozen,63
2023-11-27,Rice,Frozen,24
2023-11-28,Rice,Frozen,7
2023-11-29,Rice,Frozen,28
2023-11-30,Rice,Frozen,22
2023-12-01,Rice,Frozen,26
2023-12-02,Rice,Frozen,17
2023-12-03,Rice,Frozen,63
2023-12-04,Rice,Frozen,38
2023-12-05,Rice,Frozen,6
2023-12-06,Rice,Frozen,58
2023-12-07,Rice,Frozen,56
2023-12-08,Rice,Frozen,11
2023-12-09,Rice,Frozen,38
2023-12-10,Rice,Frozen,2
2023-12-11,Rice,Frozen,63
2023-12-12,Rice,Frozen,32
2023-12-13,Rice,Frozen,26
2023-12-14,Rice,Frozen,31
2023-12-15,Rice,Frozen,32
2023-12-16,Rice,Frozen,35
2023-12-17,Rice,Frozen,2
2023-12-18,Rice,Frozen,3
2023-12-19,Rice,Frozen,33
2023-12-20,Rice,Frozen,7
2023-12-21,Rice,Frozen,21
2023-12-22,Rice,Frozen,48
2023-12-23,Rice,Frozen,25
2023-12-24,Rice,Frozen,16
2023-12-25,Rice,Frozen,23
2023-12-26,Rice,Frozen,17
2023-12-27,Rice,Frozen,33
2023-12-28,Rice,Frozen,18
2023-12-29,Rice,Frozen,39
2023-12-30,Rice,Frozen,23
2023-12-31,Rice,Frozen,9
2024-01-01,Rice,Frozen,3
2024-01-02,Rice,Frozen,48
2024-01-03,Rice,Frozen,35
2024-01-04,Rice,Frozen,62
2024-01-05,Rice,Frozen,24
2024-01-06,Rice,Frozen,6
2024-01-07,Rice,Frozen,19
2024-01-08,Rice,Frozen,56
2024-01-09,Rice,Frozen,14
2024-01-10,Rice,Frozen,3
2024-01-11,Rice,Frozen,6
2024-01-12,Rice,Frozen,17
2024-01-13,Rice,Frozen,36
2024-01-14,Rice,Frozen,22
2024-01-15,Rice,Frozen,53
2024-01-16,Rice,Frozen,4
2024-01-17,Rice,Frozen,10
2024-01-18,Rice,Frozen,32
2024-01-19,Rice,Frozen,63
2024-01-20,Rice,Frozen,47
2024-01-21,Rice,Frozen,49
2024-01-22,Rice,Frozen,52
2024-01-23,Rice,Frozen,49
2024-01-24,Rice,Frozen,43
2024-01-25,Rice,Frozen,58
2024-01-26,Rice,Frozen,4
2024-01-27,Rice,Frozen,13
2024-01-28,Rice,Frozen,19
2024-01-29,Rice,Frozen,46
2024-01-30,Rice,Frozen,55
2024-01-31,Rice,Frozen,43
2024-02-01,Rice,Frozen,54
2024-02-02,Rice,Frozen,38
2024-02-03,Rice,Frozen,48
2024-02-04,Rice,Frozen,26
2024-02-05,Rice,Frozen,30
2024-02-06,Rice,Frozen,43
2024-02-07,Rice,Frozen,31
2024-02-08,Rice,Frozen,51
2024-02-09,Rice,Frozen,38
2024-02-10,Rice,Frozen,12
2024-02-11,Rice,Frozen,19
2024-02-12,Rice,Frozen,23
2024-02-13,Rice,Frozen,50
2024-02-14,Rice,Frozen,46
2024-02-15,Rice,Frozen,41
2024-02-16,Rice,Frozen,10
2024-02-17,Rice,Frozen,15
2024-02-18,Rice,Frozen,50
2024-02-19,Rice,Frozen,17
2024-02-20,Rice,Frozen,52
2024-02-21,Rice,Frozen,13
2024-02-22,Rice,Frozen,24
2024-02-23,Rice,Frozen,16
2024-02-24,Rice,Frozen,39
2024-02-25,Rice,Frozen,38
2024-02-26,Rice,Frozen,30
2024-02-27,Rice,Frozen,45
