Date,Product Name,Category,Quantity Sold
2023-10-13,Bananas,Meat,45
2023-10-14,Bananas,Meat,39
2023-10-15,Bananas,Meat,43
2023-10-16,Bananas,Meat,47
2023-10-17,Bananas,Meat,6
2023-10-18,Bananas,Meat,54
2023-10-19,Bananas,Meat,6
2023-10-20,Bananas,Meat,11
2023-10-21,Bananas,Meat,27
2023-10-22,Bananas,Meat,16
2023-10-23,Bananas,Meat,45
2023-10-24,Bananas,Meat,3
2023-10-25,Bananas,Meat,22
2023-10-26,Bananas,Meat,32
2023-10-27,Bananas,Meat,25
2023-10-28,Bananas,Meat,18
2023-10-29,Bananas,Meat,19
2023-10-30,Bananas,Meat,48
2023-10-31,Bananas,Meat,30
2023-11-01,Bananas,Meat,35
2023-11-02,Bananas,Meat,51
2023-11-03,Bananas,Meat,46
2023-11-04,Bananas,Meat,54
2023-11-05,Bananas,Meat,27
2023-11-06,Bananas,Meat,18
2023-11-07,Bananas,Meat,13
2023-11-08,Bananas,Meat,44
2023-11-09,Bananas,Meat,57
2023-11-10,Bananas,Meat,31
2023-11-11,Bananas,Meat,53
2023-11-12,Bananas,Meat,3
2023-11-13,Bananas,Meat,31
2023-11-14,Bananas,Meat,24
2023-11-15,Bananas,Meat,55
2023-11-16,Bananas,Meat,37
2023-11-17,Bananas,Meat,22
2023-11-18,Bananas,Meat,33
2023-11-19,Bananas,Meat,45
2023-11-20,Bananas,Meat,61
2023-11-21,Bananas,Meat,15
2023-11-22,Bananas,Meat,38
2023-11-23,Bananas,Meat,59
2023-11-24,Bananas,Meat,42
2023-11-25,Bananas,Meat,14
2023-11-26,Bananas,Meat,48
2023-11-27,Bananas,Meat,60
2023-11-28,Bananas,Meat,15
2023-11-29,Bananas,Meat,56
2023-11-30,Bananas,Meat,29
2023-12-01,Bananas,Meat,26
2023-12-02,Bananas,Meat,22
2023-12-03,Bananas,Meat,4
2023-12-04,Bananas,Meat,33
2023-12-05,Bananas,Meat,57
2023-12-06,Bananas,Meat,5
2023-12-07,Bananas,Meat,28
2023-12-08,Bananas,Meat,49
2023-12-09,Bananas,Meat,35
2023-12-10,Bananas,Meat,42
2023-12-11,Bananas,Meat,32
2023-12-12,Bananas,Meat,29
2023-12-13,Bananas,Meat,46
2023-12-14,Bananas,Meat,24
2023-12-15,Bananas,Meat,30
2023-12-16,Bananas,Meat,9
2023-12-17,Bananas,Meat,48
2023-12-18,Bananas,Meat,54
2023-12-19,Bananas,Meat,18
2023-12-20,Bananas,Meat,11
2023-12-21,Bananas,Meat,22
2023-12-22,Bananas,Meat,37
2023-12-23,Bananas,Meat,23
2023-12-24,Bananas,Meat,29
2023-12-25,Bananas,Meat,57
2023-12-26,Bananas,Meat,13
2023-12-27,Bananas,Meat,32
2023-12-28,Bananas,Meat,58
2023-12-29,Bananas,Meat,44
2023-12-30,Bananas,Meat,10
2023-12-31,Bananas,Meat,43
2024-01-01,Bananas,Meat,48
2024-01-02,Bananas,Meat,6
2024-01-03,Bananas,Meat,21
2024-01-04,Bananas,Meat,35
2024-01-05,Bananas,Meat,3
2024-01-06,Bananas,Meat,21
2024-01-07,Bananas,Meat,20
2024-01-08,Bananas,Meat,50
2024-01-09,Bananas,Meat,43
2024-01-10,Bananas,Meat,34
2024-01-11,Bananas,Meat,3
2024-01-12,Bananas,Meat,45
2024-01-13,Bananas,Meat,45
2024-01-14,Bananas,Meat,40
2024-01-15,Bananas,Meat,37
2024-01-16,Bananas,Meat,53
2024-01-17,Bananas,Meat,5
2024-01-18,Bananas,Meat,50
2024-01-19,Bananas,Meat,11
2024-01-20,Bananas,Meat,54
2024-01-21,Bananas,Meat,48
2024-01-22,Bananas,Meat,17
2024-01-23,Bananas,Meat,4
2024-01-24,Bananas,Meat,8
2024-01-25,Bananas,Meat,41
2024-01-26,Bananas,Meat,47
2024-01-27,Bananas,Meat,22
