Date,Product Name,Category,Quantity Sold
2023-10-13,Beef,Produce,15
2023-10-14,Beef,Produce,22
2023-10-15,Beef,Produce,22
2023-10-16,Beef,Produce,12
2023-10-17,Beef,Produce,9
2023-10-18,Beef,Produce,15
2023-10-19,Beef,Produce,13
2023-10-20,Beef,Produce,11
2023-10-21,Beef,Produce,20
2023-10-22,Beef,Produce,26
2023-10-23,Beef,Produce,15
2023-10-24,Beef,Produce,18
2023-10-25,Beef,Produce,2
2023-10-26,Beef,Produce,12
2023-10-27,Beef,Produce,25
2023-10-28,Beef,Produce,4
2023-10-29,Beef,Produce,10
2023-10-30,Beef,Produce,9
2023-10-31,Beef,Produce,14
2023-11-01,Beef,Produce,16
2023-11-02,Beef,Produce,1
2023-11-03,Beef,Produce,12
2023-11-04,Beef,Produce,2
2023-11-05,Beef,Produce,15
2023-11-06,Beef,Produce,23
2023-11-07,Beef,Produce,14
2023-11-08,Beef,Produce,11
2023-11-09,Beef,Produce,23
2023-11-10,Beef,Produce,1
2023-11-11,Beef,Produce,16
2023-11-12,Beef,Produce,24
2023-11-13,Beef,Produce,7
2023-11-14,Beef,Produce,13
2023-11-15,Beef,Produce,26
2023-11-16,Beef,Produce,2
2023-11-17,Beef,Produce,17
2023-11-18,Beef,Produce,18
2023-11-19,Beef,Produce,23
2023-11-20,Beef,Produce,14
2023-11-21,Beef,Produce,26
2023-11-22,Beef,Produce,4
2023-11-23,Beef,Produce,6
2023-11-24,Beef,Produce,16
2023-11-25,Beef,Produce,21
2023-11-26,Beef,Produce,11
2023-11-27,Beef,Produce,15
2023-11-28,Beef,Produce,8
2023-11-29,Beef,Produce,7
2023-11-30,Beef,Produce,14
2023-12-01,Beef,Produce,15
2023-12-02,Beef,Produce,7
2023-12-03,Beef,Produce,11
2023-12-04,Beef,Produce,11
2023-12-05,Beef,Produce,9
2023-12-06,Beef,Produce,20
2023-12-07,Beef,Produce,25
2023-12-08,Beef,Produce,19
2023-12-09,Beef,Produce,19
2023-12-10,Beef,Produce,21
2023-12-11,Beef,Produce,10
2023-12-12,Beef,Produce,3
2023-12-13,Beef,Produce,9
2023-12-14,Beef,Produce,16
2023-12-15,Beef,Produce,14
2023-12-16,Beef,Produce,17
2023-12-17,Beef,Produce,6
2023-12-18,Beef,Produce,7
2023-12-19,Beef,Produce,1
2023-12-20,Beef,Produce,21
2023-12-21,Beef,Produce,25
2023-12-22,Beef,Produce,14
2023-12-23,Beef,Produce,12
2023-12-24,Beef,Produce,6
2023-12-25,Beef,Produce,4
2023-12-26,Beef,Produce,20
2023-12-27,Beef,Produce,21
2023-12-28,Beef,Produce,5
2023-12-29,Beef,Produce,22
2023-12-30,Beef,Produce,14
2023-12-31,Beef,Produce,3
2024-01-01,Beef,Produce,15
2024-01-02,Beef,Produce,20
2024-01-03,Beef,Produce,21
2024-01-04,Beef,Produce,18
2024-01-05,Beef,Produce,12
2024-01-06,Beef,Produce,26
2024-01-07,Beef,Produce,20
2024-01-08,Beef,Produce,23
2024-01-09,Beef,Produce,16
2024-01-10,Beef,Produce,4
2024-01-11,Beef,Produce,24
2024-01-12,Beef,Produce,1
2024-01-13,Beef,Produce,9
2024-01-14,Beef,Produce,5
2024-01-15,Beef,Produce,18
2024-01-16,Beef,Produce,22
2024-01-17,Beef,Produce,4
2024-01-18,Beef,Produce,8
2024-01-19,Beef,Produce,24
2024-01-20,Beef,Produce,10
2024-01-21,Beef,Produce,7
2024-01-22,Beef,Produce,3
2024-01-23,Beef,Produce,10
2024-01-24,Beef,Produce,16
2024-01-25,Beef,Produce,20
2024-01-26,Beef,Produce,3
2024-01-27,Beef,Produce,17
2024-01-28,Beef,Produce,23
2024-01-29,Beef,Produce,10
2024-01-30,Beef,Produce,24
2024-01-31,Beef,Produce,11
2024-02-01,Beef,Produce,8
2024-02-02,Beef,Produce,8
2024-02-03,Beef,Produce,15
2024-02-04,Beef,Produce,17
2024-02-05,Beef,Produce,1
2024-02-06,Beef,Produce,10
2024-02-07,Beef,Produce,16
2024-02-08,Beef,Produce,5
2024-02-09,Beef,Produce,11
2024-02-10,Beef,Produce,26
2024-02-11,Beef,Produce,19
2024-02-12,Beef,Produce,1
2024-02-13,Beef,Produce,11
2024-02-14,Beef,Produce,18
2024-02-15,Beef,Produce,8
2024-02-16,Beef,Produce,21
2024-02-17,Beef,Produce,14
2024-02-18,Beef,Produce,20
2024-02-19,Beef,Produce,2
2024-02-20,Beef,Produce,8
2024-02-21,Beef,Produce,22
2024-02-22,Beef,Produce,11
2024-02-23,Beef,Produce,8
2024-02-24,Beef,Produce,1
2024-02-25,Beef,Produce,15
2024-02-26,Beef,Produce,19
2024-02-27,Beef,Produce,17
2024-02-28,Beef,Produce,20
2024-02-29,Beef,Produce,21
2024-03-01,Beef,Produce,15
2024-03-02,Beef,Produce,22
2024-03-03,Beef,Produce,13
2024-03-04,Beef,Produce,6
2024-03-05,Beef,Produce,23
2024-03-06,Beef,Produce,22
2024-03-07,Beef,Produce,3
2024-03-08,Beef,Produce,15
2024-03-09,Beef,Produce,18
2024-03-10,Beef,Produce,13
2024-03-11,Beef,Produce,15
2024-03-12,Beef,Produce,24
2024-03-13,Beef,Produce,22
2024-03-14,Beef,Produce,12
2024-03-15,Beef,Produce,16
2024-03-16,Beef,Produce,12
2024-03-17,Beef,Produce,17
2024-03-18,Beef,Produce,26
2024-03-19,Beef,Produce,26
2024-03-20,Beef,Produce,13
2024-03-21,Beef,Produce,9
2024-03-22,Beef,Produce,18
2024-03-23,Beef,Produce,10
2024-03-24,Beef,Produce,13
2024-03-25,Beef,Produce,11
2024-03-26,Beef,Produce,21
2024-03-27,Beef,Produce,18
2024-03-28,Beef,Produce,25
2024-03-29,Beef,Produce,9
2024-03-30,Beef,Produce,19
2024-03-31,Beef,Produce,11
2024-04-01,Beef,Produce,18
2024-04-02,Beef,Produce,8
2024-04-03,Beef,Produce,25
2024-04-04,Beef,Produce,18
2024-04-05,Beef,Produce,14
2024-04-06,Beef,Produce,25
2024-04-07,Beef,Produce,19
2024-04-08,Beef,Produce,1
2024-04-09,Beef,Produce,6
2024-04-10,Beef,Produce,18
2024-04-11,Beef,Produce,17
2024-04-12,Beef,Produce,14
2024-04-13,Beef,Produce,20
2024-04-14,Beef,Produce,13
2024-04-15,Beef,Produce,15
2024-04-16,Beef,Produce,25
2024-04-17,Beef,Produce,8
2024-04-18,Beef,Produce,19
2024-04-19,Beef,Produce,8
2024-04-20,Beef,Produce,22
2024-04-21,Beef,Produce,21
2024-04-22,Beef,Produce,17
2024-04-23,Beef,Produce,9
2024-04-24,Beef,Produce,18
2024-04-25,Beef,Produce,9
2024-04-26,Beef,Produce,21
2024-04-27,Beef,Produce,3
2024-04-28,Beef,Produce,26
2024-04-29,Beef,Produce,16
2024-04-30,Beef,Produce,7
2024-05-01,Beef,Produce,17
2024-05-02,Beef,Produce,21
2024-05-03,Beef,Produce,21
2024-05-04,Beef,Produce,14
2024-05-05,Beef,Produce,11
2024-05-06,Beef,Produce,14
2024-05-07,Beef,Produce,7
2024-05-08,Beef,Produce,24
2024-05-09,Beef,Produce,16
2024-05-10,Beef,Produce,24
2024-05-11,Beef,Produce,1
2024-05-12,Beef,Produce,20
2024-05-13,Beef,Produce,22
2024-05-14,Beef,Produce,10
2024-05-15,Beef,Produce,11
2024-05-16,Beef,Produce,15
2024-05-17,Beef,Produce,18
2024-05-18,Beef,Produce,16
2024-05-19,Beef,Produce,23
2024-05-20,Beef,Produce,25
2024-05-21,Beef,Produce,14
2024-05-22,Beef,Produce,26
2024-05-23,Beef,Produce,21
2024-05-24,Beef,Produce,5
2024-05-25,Beef,Produce,15
2024-05-26,Beef,Produce,12
2024-05-27,Beef,Produce,21
2024-05-28,Beef,Produce,25
2024-05-29,Beef,Produce,21
2024-05-30,Beef,Produce,16
2024-05-31,Beef,Produce,20
2024-06-01,Beef,Produce,11
2024-06-02,Beef,Produce,24
2024-06-03,Beef,Produce,20
2024-06-04,Beef,Produce,16
2024-06-05,Beef,Produce,8
