Date,Product Name,Category,Quantity Sold
2023-10-13,Soda,Snacks,12
2023-10-14,Soda,Snacks,32
2023-10-15,Soda,Snacks,22
2023-10-16,Soda,Snacks,27
2023-10-17,Soda,Snacks,58
2023-10-18,Soda,Snacks,37
2023-10-19,Soda,Snacks,51
2023-10-20,Soda,Snacks,47
2023-10-21,Soda,Snacks,57
2023-10-22,Soda,Snacks,50
2023-10-23,Soda,Snacks,26
2023-10-24,Soda,Snacks,31
2023-10-25,Soda,Snacks,29
2023-10-26,Soda,Snacks,31
2023-10-27,Soda,Snacks,24
2023-10-28,Soda,Snacks,63
2023-10-29,Soda,Snacks,4
2023-10-30,Soda,Snacks,46
2023-10-31,Soda,Snacks,14
2023-11-01,Soda,Snacks,13
2023-11-02,Soda,Snacks,23
2023-11-03,Soda,Snacks,8
2023-11-04,Soda,Snacks,13
2023-11-05,Soda,Snacks,60
2023-11-06,Soda,Snacks,1
2023-11-07,Soda,Snacks,58
2023-11-08,Soda,Snacks,63
2023-11-09,Soda,Snacks,27
2023-11-10,Soda,Snacks,17
2023-11-11,Soda,Snacks,41
2023-11-12,Soda,Snacks,9
2023-11-13,Soda,Snacks,27
2023-11-14,Soda,Snacks,26
2023-11-15,Soda,Snacks,49
2023-11-16,Soda,Snacks,21
2023-11-17,Soda,Snacks,43
2023-11-18,Soda,Snacks,46
2023-11-19,Soda,Snacks,48
2023-11-20,Soda,Snacks,4
2023-11-21,Soda,Snacks,14
2023-11-22,Soda,Snacks,42
2023-11-23,Soda,Snacks,45
2023-11-24,Soda,Snacks,59
2023-11-25,Soda,Snacks,11
2023-11-26,Soda,Snacks,62
2023-11-27,Soda,Snacks,4
2023-11-28,Soda,Snacks,59
2023-11-29,Soda,Snacks,34
2023-11-30,Soda,Snacks,5
2023-12-01,Soda,Snacks,59
2023-12-02,Soda,Snacks,32
2023-12-03,Soda,Snacks,16
2023-12-04,Soda,Snacks,28
2023-12-05,Soda,Snacks,2
2023-12-06,Soda,Snacks,35
2023-12-07,Soda,Snacks,8
2023-12-08,Soda,Snacks,57
2023-12-09,Soda,Snacks,25
2023-12-10,Soda,Snacks,63
2023-12-11,Soda,Snacks,23
2023-12-12,Soda,Snacks,36
2023-12-13,Soda,Snacks,25
2023-12-14,Soda,Snacks,17
2023-12-15,Soda,Snacks,63
2023-12-16,Soda,Snacks,50
2023-12-17,Soda,Snacks,64
2023-12-18,Soda,Snacks,26
2023-12-19,Soda,Snacks,46
2023-12-20,Soda,Snacks,37
2023-12-21,Soda,Snacks,21
2023-12-22,Soda,Snacks,5
2023-12-23,Soda,Snacks,24
2023-12-24,Soda,Snacks,10
2023-12-25,Soda,Snacks,2
2023-12-26,Soda,Snacks,26
2023-12-27,Soda,Snacks,9
2023-12-28,Soda,Snacks,48
2023-12-29,Soda,Snacks,53
2023-12-30,Soda,Snacks,30
2023-12-31,Soda,Snacks,39
2024-01-01,Soda,Snacks,57
2024-01-02,Soda,Snacks,53
2024-01-03,Soda,Snacks,36
2024-01-04,Soda,Snacks,63
2024-01-05,Soda,Snacks,32
2024-01-06,Soda,Snacks,57
2024-01-07,Soda,Snacks,8
2024-01-08,Soda,Snacks,61
2024-01-09,Soda,Snacks,3
2024-01-10,Soda,Snacks,4
2024-01-11,Soda,Snacks,63
2024-01-12,Soda,Snacks,25
2024-01-13,Soda,Snacks,49
2024-01-14,Soda,Snacks,27
2024-01-15,Soda,Snacks,16
2024-01-16,Soda,Snacks,23
2024-01-17,Soda,Snacks,47
2024-01-18,Soda,Snacks,26
2024-01-19,Soda,Snacks,15
2024-01-20,Soda,Snacks,51
2024-01-21,Soda,Snacks,26
2024-01-22,Soda,Snacks,62
2024-01-23,Soda,Snacks,55
2024-01-24,Soda,Snacks,25
2024-01-25,Soda,Snacks,42
2024-01-26,Soda,Snacks,11
2024-01-27,Soda,Snacks,13
2024-01-28,Soda,Snacks,44
2024-01-29,Soda,Snacks,1
2024-01-30,Soda,Snacks,36
2024-01-31,Soda,Snacks,31
2024-02-01,Soda,Snacks,51
2024-02-02,Soda,Snacks,22
2024-02-03,Soda,Snacks,36
2024-02-04,Soda,Snacks,5
2024-02-05,Soda,Snacks,45
2024-02-06,Soda,Snacks,53
2024-02-07,Soda,Snacks,19
2024-02-08,Soda,Snacks,48
2024-02-09,Soda,Snacks,31
2024-02-10,Soda,Snacks,23
2024-02-11,Soda,Snacks,61
2024-02-12,Soda,Snacks,22
2024-02-13,Soda,Snacks,57
2024-02-14,Soda,Snacks,31
2024-02-15,Soda,Snacks,21
2024-02-16,Soda,Snacks,3
2024-02-17,Soda,Snacks,53
2024-02-18,Soda,Snacks,60
2024-02-19,Soda,Snacks,61
2024-02-20,Soda,Snacks,11
2024-02-21,Soda,Snacks,12
2024-02-22,Soda,Snacks,42
2024-02-23,Soda,Snacks,64
2024-02-24,Soda,Snacks,25
