Date,Product Name,Category,Quantity Sold
2023-10-13,Salt,Staples,30
2023-10-14,Salt,Staples,28
2023-10-15,Salt,Staples,56
2023-10-16,Salt,Staples,23
2023-10-17,Salt,Staples,15
2023-10-18,Salt,Staples,48
2023-10-19,Salt,Staples,11
2023-10-20,Salt,Staples,43
2023-10-21,Salt,Staples,21
2023-10-22,Salt,Staples,45
2023-10-23,Salt,Staples,39
2023-10-24,Salt,Staples,31
2023-10-25,Salt,Staples,15
2023-10-26,Salt,Staples,17
2023-10-27,Salt,Staples,25
2023-10-28,Salt,Staples,24
2023-10-29,Salt,Staples,45
2023-10-30,Salt,Staples,36
2023-10-31,Salt,Staples,33
2023-11-01,Salt,Staples,44
2023-11-02,Salt,Staples,4
2023-11-03,Salt,Staples,1
2023-11-04,Salt,Staples,38
2023-11-05,Salt,Staples,56
2023-11-06,Salt,Staples,11
2023-11-07,Salt,Staples,21
2023-11-08,Salt,Staples,25
2023-11-09,Salt,Staples,50
2023-11-10,Salt,Staples,28
2023-11-11,Salt,Staples,50
2023-11-12,Salt,Staples,52
2023-11-13,Salt,Staples,6
2023-11-14,Salt,Staples,46
2023-11-15,Salt,Staples,6
2023-11-16,Salt,Staples,22
2023-11-17,Salt,Staples,15
2023-11-18,Salt,Staples,54
2023-11-19,Salt,Staples,33
2023-11-20,Salt,Staples,17
2023-11-21,Salt,Staples,12
2023-11-22,Salt,Staples,31
2023-11-23,Salt,Staples,35
2023-11-24,Salt,Staples,34
2023-11-25,Salt,Staples,32
2023-11-26,Salt,Staples,23
2023-11-27,Salt,Staples,38
2023-11-28,Salt,Staples,5
2023-11-29,Salt,Staples,40
2023-11-30,Salt,Staples,2
2023-12-01,Salt,Staples,31
2023-12-02,Salt,Staples,12
2023-12-03,Salt,Staples,39
2023-12-04,Salt,Staples,46
2023-12-05,Salt,Staples,42
2023-12-06,Salt,Staples,20
2023-12-07,Salt,Staples,14
2023-12-08,Salt,Staples,11
2023-12-09,Salt,Staples,31
2023-12-10,Salt,Staples,51
2023-12-11,Salt,Staples,33
2023-12-12,Salt,Staples,26
2023-12-13,Salt,Staples,2
2023-12-14,Salt,Staples,31
2023-12-15,Salt,Staples,55
2023-12-16,Salt,Staples,35
2023-12-17,Salt,Staples,27
2023-12-18,Salt,Staples,5
2023-12-19,Salt,Staples,11
2023-12-20,Salt,Staples,51
2023-12-21,Salt,Staples,39
2023-12-22,Salt,Staples,28
2023-12-23,Salt,Staples,16
2023-12-24,Salt,Staples,52
2023-12-25,Salt,Staples,40
2023-12-26,Salt,Staples,26
2023-12-27,Salt,Staples,24
2023-12-28,Salt,Staples,4
2023-12-29,Salt,Staples,12
2023-12-30,Salt,Staples,18
2023-12-31,Salt,Staples,55
2024-01-01,Salt,Staples,14
2024-01-02,Salt,Staples,17
2024-01-03,Salt,Staples,44
2024-01-04,Salt,Staples,41
2024-01-05,Salt,Staples,16
2024-01-06,Salt,Staples,53
2024-01-07,Salt,Staples,42
2024-01-08,Salt,Staples,20
2024-01-09,Salt,Staples,52
2024-01-10,Salt,Staples,43
2024-01-11,Salt,Staples,28
2024-01-12,Salt,Staples,41
2024-01-13,Salt,Staples,1
2024-01-14,Salt,Staples,16
2024-01-15,Salt,Staples,4
2024-01-16,Salt,Staples,54
2024-01-17,Salt,Staples,32
2024-01-18,Salt,Staples,29
2024-01-19,Salt,Staples,8
2024-01-20,Salt,Staples,2
2024-01-21,Salt,Staples,46
2024-01-22,Salt,Staples,24
2024-01-23,Salt,Staples,41
2024-01-24,Salt,Staples,56
2024-01-25,Salt,Staples,46
2024-01-26,Salt,Staples,14
2024-01-27,Salt,Staples,53
2024-01-28,Salt,Staples,44
2024-01-29,Salt,Staples,43
2024-01-30,Salt,Staples,1
2024-01-31,Salt,Staples,54
2024-02-01,Salt,Staples,33
2024-02-02,Salt,Staples,11
2024-02-03,Salt,Staples,20
2024-02-04,Salt,Staples,15
2024-02-05,Salt,Staples,28
2024-02-06,Salt,Staples,21
2024-02-07,Salt,Staples,23
2024-02-08,Salt,Staples,9
2024-02-09,Salt,Staples,20
2024-02-10,Salt,Staples,53
2024-02-11,Salt,Staples,54
2024-02-12,Salt,Staples,17
2024-02-13,Salt,Staples,42
2024-02-14,Salt,Staples,15
2024-02-15,Salt,Staples,44
2024-02-16,Salt,Staples,5
2024-02-17,Salt,Staples,46
2024-02-18,Salt,Staples,42
2024-02-19,Salt,Staples,52
2024-02-20,Salt,Staples,33
2024-02-21,Salt,Staples,30
2024-02-22,Salt,Staples,16
2024-02-23,Salt,Staples,36
2024-02-24,Salt,Staples,37
2024-02-25,Salt,Staples,41
2024-02-26,Salt,Staples,49
2024-02-27,Salt,Staples,38
2024-02-28,Salt,Staples,24
2024-02-29,Salt,Staples,25
2024-03-01,Salt,Staples,27
2024-03-02,Salt,Staples,5
2024-03-03,Salt,Staples,50
2024-03-04,Salt,Staples,49
2024-03-05,Salt,Staples,21
2024-03-06,Salt,Staples,43
2024-03-07,Salt,Staples,35
2024-03-08,Salt,Staples,6
2024-03-09,Salt,Staples,9
2024-03-10,Salt,Staples,45
2024-03-11,Salt,Staples,27
2024-03-12,Salt,Staples,1
2024-03-13,Salt,Staples,30
2024-03-14,Salt,Staples,15
2024-03-15,Salt,Staples,32
2024-03-16,Salt,Staples,20
2024-03-17,Salt,Staples,4
2024-03-18,Salt,Staples,55
2024-03-19,Salt,Staples,34
2024-03-20,Salt,Staples,48
2024-03-21,Salt,Staples,56
2024-03-22,Salt,Staples,38
2024-03-23,Salt,Staples,20
2024-03-24,Salt,Staples,47
2024-03-25,Salt,Staples,51
2024-03-26,Salt,Staples,28
2024-03-27,Salt,Staples,39
2024-03-28,Salt,Staples,25
2024-03-29,Salt,Staples,11
2024-03-30,Salt,Staples,50
2024-03-31,Salt,Staples,8
2024-04-01,Salt,Staples,34
2024-04-02,Salt,Staples,27
2024-04-03,Salt,Staples,44
2024-04-04,Salt,Staples,22
2024-04-05,Salt,Staples,8
2024-04-06,Salt,Staples,33
2024-04-07,Salt,Staples,39
2024-04-08,Salt,Staples,9
2024-04-09,Salt,Staples,54
2024-04-10,Salt,Staples,22
2024-04-11,Salt,Staples,9
2024-04-12,Salt,Staples,31
2024-04-13,Salt,Staples,34
2024-04-14,Salt,Staples,4
2024-04-15,Salt,Staples,46
2024-04-16,Salt,Staples,14
2024-04-17,Salt,Staples,8
2024-04-18,Salt,Staples,53
2024-04-19,Salt,Staples,41
2024-04-20,Salt,Staples,35
2024-04-21,Salt,Staples,22
2024-04-22,Salt,Staples,54
2024-04-23,Salt,Staples,51
2024-04-24,Salt,Staples,6
2024-04-25,Salt,Staples,33
2024-04-26,Salt,Staples,53
2024-04-27,Salt,Staples,18
2024-04-28,Salt,Staples,8
2024-04-29,Salt,Staples,7
2024-04-30,Salt,Staples,32
2024-05-01,Salt,Staples,7
2024-05-02,Salt,Staples,10
2024-05-03,Salt,Staples,36
2024-05-04,Salt,Staples,50
2024-05-05,Salt,Staples,51
2024-05-06,Salt,Staples,31
2024-05-07,Salt,Staples,31
2024-05-08,Salt,Staples,10
2024-05-09,Salt,Staples,20
2024-05-10,Salt,Staples,51
2024-05-11,Salt,Staples,35
2024-05-12,Salt,Staples,29
2024-05-13,Salt,Staples,30
2024-05-14,Salt,Staples,49
2024-05-15,Salt,Staples,31
2024-05-16,Salt,Staples,33
2024-05-17,Salt,Staples,56
2024-05-18,Salt,Staples,40
2024-05-19,Salt,Staples,49
2024-05-20,Salt,Staples,4
2024-05-21,Salt,Staples,34
2024-05-22,Salt,Staples,17
2024-05-23,Salt,Staples,34
2024-05-24,Salt,Staples,32
2024-05-25,Salt,Staples,33
2024-05-26,Salt,Staples,37
2024-05-27,Salt,Staples,31
2024-05-28,Salt,Staples,26
2024-05-29,Salt,Staples,31
2024-05-30,Salt,Staples,31
2024-05-31,Salt,Staples,28
2024-06-01,Salt,Staples,38
2024-06-02,Salt,Staples,44
2024-06-03,Salt,Staples,56
2024-06-04,Salt,Staples,10
2024-06-05,Salt,Staples,8
2024-06-06,Salt,Staples,46
2024-06-07,Salt,Staples,36
2024-06-08,Salt,Staples,19
2024-06-09,Salt,Staples,28
2024-06-10,Salt,Staples,5
2024-06-11,Salt,Staples,24
2024-06-12,Salt,Staples,53
2024-06-13,Salt,Staples,7
2024-06-14,Salt,Staples,20
2024-06-15,Salt,Staples,2
2024-06-16,Salt,Staples,43
2024-06-17,Salt,Staples,10
2024-06-18,Salt,Staples,18
2024-06-19,Salt,Staples,34
2024-06-20,Salt,Staples,14
2024-06-21,Salt,Staples,56
2024-06-22,Salt,Staples,10
2024-06-23,Salt,Staples,38
2024-06-24,Salt,Staples,32
2024-06-25,Salt,Staples,53
2024-06-26,Salt,Staples,3
2024-06-27,Salt,Staples,55
2024-06-28,Salt,Staples,48
2024-06-29,Salt,Staples,8
2024-06-30,Salt,Staples,9
2024-07-01,Salt,Staples,11
2024-07-02,Salt,Staples,16
2024-07-03,Salt,Staples,34
2024-07-04,Salt,Staples,24
2024-07-05,Salt,Staples,31
2024-07-06,Salt,Staples,5
2024-07-07,Salt,Staples,33
2024-07-08,Salt,Staples,30
2024-07-09,Salt,Staples,55
2024-07-10,Salt,Staples,30
2024-07-11,Salt,Staples,15
2024-07-12,Salt,Staples,39
2024-07-13,Salt,Staples,16
2024-07-14,Salt,Staples,26
2024-07-15,Salt,Staples,12
2024-07-16,Salt,Staples,19
2024-07-17,Salt,Staples,47
2024-07-18,Salt,Staples,35
2024-07-19,Salt,Staples,20
2024-07-20,Salt,Staples,21
2024-07-21,Salt,Staples,53
2024-07-22,Salt,Staples,37
2024-07-23,Salt,Staples,15
2024-07-24,Salt,Staples,54
2024-07-25,Salt,Staples,49
2024-07-26,Salt,Staples,16
2024-07-27,Salt,Staples,16
2024-07-28,Salt,Staples,23
2024-07-29,Salt,Staples,44
2024-07-30,Salt,Staples,4
2024-07-31,Salt,Staples,29
2024-08-01,Salt,Staples,37
2024-08-02,Salt,Staples,24
2024-08-03,Salt,Staples,8
2024-08-04,Salt,Staples,44
2024-08-05,Salt,Staples,5
2024-08-06,Salt,Staples,43
2024-08-07,Salt,Staples,29
2024-08-08,Salt,Staples,51
2024-08-09,Salt,Staples,10
2024-08-10,Salt,Staples,56
2024-08-11,Salt,Staples,50
2024-08-12,Salt,Staples,44
2024-08-13,Salt,Staples,9
2024-08-14,Salt,Staples,22
2024-08-15,Salt,Staples,10
2024-08-16,Salt,Staples,20
2024-08-17,Salt,Staples,20
2024-08-18,Salt,Staples,51
2024-08-19,Salt,Staples,27
2024-08-20,Salt,Staples,53
2024-08-21,Salt,Staples,38
2024-08-22,Salt,Staples,10
2024-08-23,Salt,Staples,19
2024-08-24,Salt,Staples,41
2024-08-25,Salt,Staples,30
2024-08-26,Salt,Staples,16
2024-08-27,Salt,Staples,40
2024-08-28,Salt,Staples,12
2024-08-29,Salt,Staples,54
2024-08-30,Salt,Staples,5
2024-08-31,Salt,Staples,43
2024-09-01,Salt,Staples,51
2024-09-02,Salt,Staples,3
2024-09-03,Salt,Staples,24
2024-09-04,Salt,Staples,54
2024-09-05,Salt,Staples,26
2024-09-06,Salt,Staples,31
2024-09-07,Salt,Staples,47
2024-09-08,Salt,Staples,54
2024-09-09,Salt,Staples,52
2024-09-10,Salt,Staples,3
2024-09-11,Salt,Staples,54
2024-09-12,Salt,Staples,1
2024-09-13,Salt,Staples,11
2024-09-14,Salt,Staples,45
2024-09-15,Salt,Staples,5
2024-09-16,Salt,Staples,7
2024-09-17,Salt,Staples,33
2024-09-18,Salt,Staples,13
2024-09-19,Salt,Staples,42
2024-09-20,Salt,Staples,31
2024-09-21,Salt,Staples,52
2024-09-22,Salt,Staples,50
2024-09-23,Salt,Staples,13
2024-09-24,Salt,Staples,1
2024-09-25,Salt,Staples,49
2024-09-26,Salt,Staples,44
2024-09-27,Salt,Staples,55
2024-09-28,Salt,Staples,38
2024-09-29,Salt,Staples,39
2024-09-30,Salt,Staples,33
2024-10-01,Salt,Staples,42
2024-10-02,Salt,Staples,35
2024-10-03,Salt,Staples,39
2024-10-04,Salt,Staples,42
2024-10-05,Salt,Staples,42
2024-10-06,Salt,Staples,9
2024-10-07,Salt,Staples,6
2024-10-08,Salt,Staples,56
2024-10-09,Salt,Staples,41
2024-10-10,Salt,Staples,55
2024-10-11,Salt,Staples,9
2023-10-13,Spinach,Staples,27
2023-10-14,Spinach,Staples,10
2023-10-15,Spinach,Staples,4
2023-10-16,Spinach,Staples,25
2023-10-17,Spinach,Staples,16
2023-10-18,Spinach,Staples,25
2023-10-19,Spinach,Staples,2
2023-10-20,Spinach,Staples,11
2023-10-21,Spinach,Staples,9
2023-10-22,Spinach,Staples,3
2023-10-23,Spinach,Staples,27
2023-10-24,Spinach,Staples,7
2023-10-25,Spinach,Staples,13
2023-10-26,Spinach,Staples,27
2023-10-27,Spinach,Staples,13
2023-10-28,Spinach,Staples,28
2023-10-29,Spinach,Staples,19
2023-10-30,Spinach,Staples,28
2023-10-31,Spinach,Staples,11
2023-11-01,Spinach,Staples,5
2023-11-02,Spinach,Staples,16
2023-11-03,Spinach,Staples,28
2023-11-04,Spinach,Staples,2
2023-11-05,Spinach,Staples,10
2023-11-06,Spinach,Staples,10
2023-11-07,Spinach,Staples,19
2023-11-08,Spinach,Staples,26
2023-11-09,Spinach,Staples,20
2023-11-10,Spinach,Staples,26
