Date,Product Name,Category,Quantity Sold,Inventory,Surplus
2023-10-13,Cucumbers,Bakery,90,107,4
2023-10-14,Cucumbers,Bakery,72,84,13
2023-10-15,Cucumbers,Bakery,89,95,15
2023-10-16,Cucumbers,Bakery,23,34,5
2023-10-17,Cucumbers,Bakery,38,54,8
2023-10-18,Cucumbers,Bakery,17,29,1
2023-10-19,Cucumbers,Bakery,58,64,13
2023-10-20,Cucumbers,Bakery,51,66,5
2023-10-21,Cucumbers,Bakery,80,102,8
2023-10-22,Cucumbers,Bakery,45,59,17
2023-10-23,Cucumbers,Bakery,91,106,9
2023-10-24,Cucumbers,Bakery,89,102,19
2023-10-25,Cucumbers,Bakery,96,103,15
2023-10-26,Cucumbers,Bakery,25,48,14
2023-10-27,Cucumbers,Bakery,32,39,1
2023-10-28,Cucumbers,Bakery,19,30,12
2023-10-29,Cucumbers,Bakery,60,77,2
2023-10-30,Cucumbers,Bakery,86,92,19
2023-10-31,Cucumbers,Bakery,83,93,2
2023-11-01,Cucumbers,Bakery,11,24,7
2023-11-02,Cucumbers,Bakery,86,103,19
2023-11-03,Cucumbers,Bakery,84,100,3
2023-11-04,Cucumbers,Bakery,47,70,4
2023-11-05,Cucumbers,Bakery,80,91,8
2023-11-06,Cucumbers,Bakery,43,49,3
2023-11-07,Cucumbers,Bakery,75,91,18
2023-11-08,Cucumbers,Bakery,6,25,14
2023-11-09,Cucumbers,Bakery,61,84,17
2023-11-10,Cucumbers,Bakery,67,84,13
2023-11-11,Cucumbers,Bakery,62,83,14
2023-11-12,Cucumbers,Bakery,19,25,6
2023-11-13,Cucumbers,Bakery,74,90,9
2023-11-14,Cucumbers,Bakery,32,43,10
2023-11-15,Cucumbers,Bakery,85,108,10
2023-11-16,Cucumbers,Bakery,31,52,16
2023-11-17,Cucumbers,Bakery,70,94,6
2023-11-18,Cucumbers,Bakery,4,11,15
2023-11-19,Cucumbers,Bakery,35,43,10
2023-11-20,Cucumbers,Bakery,13,35,1
2023-11-21,Cucumbers,Bakery,39,57,2
2023-11-22,Cucumbers,Bakery,76,87,4
2023-11-23,Cucumbers,Bakery,87,100,14
2023-11-24,Cucumbers,Bakery,58,73,15
2023-11-25,Cucumbers,Bakery,3,15,9
2023-11-26,Cucumbers,Bakery,17,27,18
2023-11-27,Cucumbers,Bakery,58,68,1
2023-11-28,Cucumbers,Bakery,86,94,14
2023-11-29,Cucumbers,Bakery,46,56,9
2023-11-30,Cucumbers,Bakery,29,44,14
2023-12-01,Cucumbers,Bakery,91,99,12
2023-12-02,Cucumbers,Bakery,7,17,5
2023-12-03,Cucumbers,Bakery,51,71,19
2023-12-04,Cucumbers,Bakery,68,85,6
2023-12-05,Cucumbers,Bakery,64,75,18
2023-12-06,Cucumbers,Bakery,11,32,3
2023-12-07,Cucumbers,Bakery,97,104,1
2023-12-08,Cucumbers,Bakery,35,47,18
2023-12-09,Cucumbers,Bakery,59,70,7
2023-12-10,Cucumbers,Bakery,28,45,6
2023-12-11,Cucumbers,Bakery,82,87,7
2023-12-12,Cucumbers,Bakery,6,15,15
2023-12-13,Cucumbers,Bakery,87,97,12
2023-12-14,Cucumbers,Bakery,98,119,10
2023-12-15,Cucumbers,Bakery,16,37,9
2023-12-16,Cucumbers,Bakery,87,103,13
2023-12-17,Cucumbers,Bakery,35,45,18
2023-12-18,Cucumbers,Bakery,6,26,4
2023-12-19,Cucumbers,Bakery,88,107,16
2023-12-20,Cucumbers,Bakery,15,20,6
2023-12-21,Cucumbers,Bakery,9,21,11
2023-12-22,Cucumbers,Bakery,46,62,14
2023-12-23,Cucumbers,Bakery,8,23,1
2023-12-24,Cucumbers,Bakery,33,45,9
2023-12-25,Cucumbers,Bakery,26,49,10
2023-12-26,Cucumbers,Bakery,17,32,8
2023-12-27,Cucumbers,Bakery,95,110,7
2023-12-28,Cucumbers,Bakery,11,34,11
2023-12-29,Cucumbers,Bakery,26,49,6
2023-12-30,Cucumbers,Bakery,68,84,18
2023-12-31,Cucumbers,Bakery,72,91,5
2024-01-01,Cucumbers,Bakery,88,101,3
2024-01-02,Cucumbers,Bakery,87,103,4
2024-01-03,Cucumbers,Bakery,78,89,11
2024-01-04,Cucumbers,Bakery,39,44,11
2024-01-05,Cucumbers,Bakery,83,104,9
2024-01-06,Cucumbers,Bakery,66,81,10
2024-01-07,Cucumbers,Bakery,68,73,1
2024-01-08,Cucumbers,Bakery,52,72,6
2024-01-09,Cucumbers,Bakery,11,28,1
2024-01-10,Cucumbers,Bakery,96,103,12
2024-01-11,Cucumbers,Bakery,83,105,17
2024-01-12,Cucumbers,Bakery,89,109,6
2024-01-13,Cucumbers,Bakery,50,63,7
2024-01-14,Cucumbers,Bakery,52,74,15
2024-01-15,Cucumbers,Bakery,50,73,18
2024-01-16,Cucumbers,Bakery,62,82,13
2024-01-17,Cucumbers,Bakery,55,78,3
2024-01-18,Cucumbers,Bakery,33,53,6
2024-01-19,Cucumbers,Bakery,53,59,14
2024-01-20,Cucumbers,Bakery,13,32,9
2024-01-21,Cucumbers,Bakery,57,76,19
2024-01-22,Cucumbers,Bakery,52,65,20
2024-01-23,Cucumbers,Bakery,3,26,3
