Date,Product Name,Category,Quantity Sold,Inventory,Surplus
2023-10-13,Crackers,Beverages,76,84,2
2023-10-14,Crackers,Beverages,69,85,6
2023-10-15,Crackers,Beverages,28,52,2
2023-10-16,Crackers,Beverages,39,55,6
2023-10-17,Crackers,Beverages,34,44,7
2023-10-18,Crackers,Beverages,62,69,11
2023-10-19,Crackers,Beverages,12,35,5
2023-10-20,Crackers,Beverages,69,91,5
2023-10-21,Crackers,Beverages,54,59,3
2023-10-22,Crackers,Beverages,73,83,13
2023-10-23,Crackers,Beverages,37,59,14
2023-10-24,Crackers,Beverages,33,55,13
2023-10-25,Crackers,Beverages,49,64,12
2023-10-26,Crackers,Beverages,1,9,12
2023-10-27,Crackers,Beverages,47,52,6
2023-10-28,Crackers,Beverages,37,45,15
2023-10-29,Crackers,Beverages,9,32,12
2023-10-30,Crackers,Beverages,18,40,20
2023-10-31,Crackers,Beverages,44,53,14
2023-11-01,Crackers,Beverages,70,88,6
2023-11-02,Crackers,Beverages,63,77,14
2023-11-03,Crackers,Beverages,3,18,3
2023-11-04,Crackers,Beverages,18,38,8
2023-11-05,Crackers,Beverages,37,51,10
2023-11-06,Crackers,Beverages,20,40,9
2023-11-07,Crackers,Beverages,36,41,12
2023-11-08,Crackers,Beverages,4,18,8
2023-11-09,Crackers,Beverages,17,30,10
2023-11-10,Crackers,Beverages,57,76,14
2023-11-11,Crackers,Beverages,49,59,12
2023-11-12,Crackers,Beverages,53,59,16
2023-11-13,Crackers,Beverages,10,29,8
2023-11-14,Crackers,Beverages,29,42,12
2023-11-15,Crackers,Beverages,76,99,10
2023-11-16,Crackers,Beverages,9,27,16
2023-11-17,Crackers,Beverages,21,43,4
2023-11-18,Crackers,Beverages,1,19,14
2023-11-19,Crackers,Beverages,36,51,15
2023-11-20,Crackers,Beverages,6,17,14
2023-11-21,Crackers,Beverages,18,37,11
2023-11-22,Crackers,Beverages,72,85,17
2023-11-23,Crackers,Beverages,11,33,10
2023-11-24,Crackers,Beverages,69,87,1
2023-11-25,Crackers,Beverages,21,45,5
2023-11-26,Crackers,Beverages,9,27,4
2023-11-27,Crackers,Beverages,2,24,11
2023-11-28,Crackers,Beverages,4,18,4
2023-11-29,Crackers,Beverages,12,22,18
2023-11-30,Crackers,Beverages,39,59,2
2023-12-01,Crackers,Beverages,60,65,1
2023-12-02,Crackers,Beverages,34,48,2
2023-12-03,Crackers,Beverages,59,68,14
2023-12-04,Crackers,Beverages,72,81,16
2023-12-05,Crackers,Beverages,6,19,15
2023-12-06,Crackers,Beverages,32,50,5
2023-12-07,Crackers,Beverages,28,52,15
2023-12-08,Crackers,Beverages,75,91,9
2023-12-09,Crackers,Beverages,41,48,18
2023-12-10,Crackers,Beverages,72,82,8
2023-12-11,Crackers,Beverages,27,33,15
2023-12-12,Crackers,Beverages,53,60,3
2023-12-13,Crackers,Beverages,11,24,5
2023-12-14,Crackers,Beverages,22,28,18
2023-12-15,Crackers,Beverages,5,16,16
2023-12-16,Crackers,Beverages,34,39,14
2023-12-17,Crackers,Beverages,62,82,1
2023-12-18,Crackers,Beverages,31,50,5
2023-12-19,Crackers,Beverages,47,71,16
2023-12-20,Crackers,Beverages,37,43,12
2023-12-21,Crackers,Beverages,26,46,5
2023-12-22,Crackers,Beverages,43,57,17
2023-12-23,Crackers,Beverages,61,80,19
2023-12-24,Crackers,Beverages,38,43,18
2023-12-25,Crackers,Beverages,32,49,9
2023-12-26,Crackers,Beverages,69,93,5
2023-12-27,Crackers,Beverages,62,83,5
2023-12-28,Crackers,Beverages,25,43,8
2023-12-29,Crackers,Beverages,33,52,17
2023-12-30,Crackers,Beverages,64,70,5
2023-12-31,Crackers,Beverages,71,94,12
2024-01-01,Crackers,Beverages,16,31,3
2024-01-02,Crackers,Beverages,49,56,2
2024-01-03,Crackers,Beverages,15,29,9
2024-01-04,Crackers,Beverages,20,27,10
2024-01-05,Crackers,Beverages,22,28,13
2024-01-06,Crackers,Beverages,10,20,6
2024-01-07,Crackers,Beverages,72,92,14
2024-01-08,Crackers,Beverages,55,75,16
2024-01-09,Crackers,Beverages,28,43,2
2024-01-10,Crackers,Beverages,9,24,17
2024-01-11,Crackers,Beverages,31,49,1
2024-01-12,Crackers,Beverages,74,96,5
2024-01-13,Crackers,Beverages,57,73,9
2024-01-14,Crackers,Beverages,31,54,19
2024-01-15,Crackers,Beverages,75,83,11
2024-01-16,Crackers,Beverages,43,50,19
2024-01-17,Crackers,Beverages,74,80,14
2024-01-18,Crackers,Beverages,9,17,18
2024-01-19,Crackers,Beverages,42,54,6
2024-01-20,Crackers,Beverages,74,87,10
2024-01-21,Crackers,Beverages,50,65,17
2024-01-22,Crackers,Beverages,37,42,20
2024-01-23,Crackers,Beverages,71,95,1
2024-01-24,Crackers,Beverages,72,85,9
2024-01-25,Crackers,Beverages,17,23,19
2024-01-26,Crackers,Beverages,77,82,13
2024-01-27,Crackers,Beverages,77,96,20
2024-01-28,Crackers,Beverages,48,56,11
2024-01-29,Crackers,Beverages,2,11,18
2024-01-30,Crackers,Beverages,42,56,6
2024-01-31,Crackers,Beverages,63,71,18
2024-02-01,Crackers,Beverages,11,19,10
2024-02-02,Crackers,Beverages,56,62,1
2024-02-03,Crackers,Beverages,73,85,18
2024-02-04,Crackers,Beverages,45,62,12
2024-02-05,Crackers,Beverages,45,54,3
