Date,Product Name,Category,Quantity Sold,Inventory,Surplus
2023-10-13,Oatmeal,Condiments,3,19,15
2023-10-14,Oatmeal,Condiments,9,22,14
2023-10-15,Oatmeal,Condiments,2,22,1
2023-10-16,Oatmeal,Condiments,15,28,19
2023-10-17,Oatmeal,Condiments,5,21,16
2023-10-18,Oatmeal,Condiments,10,24,3
2023-10-19,Oatmeal,Condiments,15,32,13
2023-10-20,Oatmeal,Condiments,10,19,17
2023-10-21,Oatmeal,Condiments,2,24,3
2023-10-22,Oatmeal,Condiments,6,11,7
2023-10-23,Oatmeal,Condiments,4,28,11
2023-10-24,Oatmeal,Condiments,7,25,19
2023-10-25,Oatmeal,Condiments,13,33,5
2023-10-26,Oatmeal,Condiments,1,9,1
2023-10-27,Oatmeal,Condiments,8,20,11
2023-10-28,Oatmeal,Condiments,2,25,17
2023-10-29,Oatmeal,Condiments,15,33,17
2023-10-30,Oatmeal,Condiments,15,32,17
2023-10-31,Oatmeal,Condiments,4,25,14
2023-11-01,Oatmeal,Condiments,11,33,15
2023-11-02,Oatmeal,Condiments,13,30,10
2023-11-03,Oatmeal,Condiments,7,24,16
2023-11-04,Oatmeal,Condiments,14,33,19
2023-11-05,Oatmeal,Condiments,15,31,20
2023-11-06,Oatmeal,Condiments,8,26,20
2023-11-07,Oatmeal,Condiments,9,24,15
2023-11-08,Oatmeal,Condiments,5,22,16
2023-11-09,Oatmeal,Condiments,9,15,6
2023-11-10,Oatmeal,Condiments,9,24,19
2023-11-11,Oatmeal,Condiments,3,19,12
2023-11-12,Oatmeal,Condiments,7,25,12
2023-11-13,Oatmeal,Condiments,8,18,8
2023-11-14,Oatmeal,Condiments,1,7,4
2023-11-15,Oatmeal,Condiments,11,31,16
2023-11-16,Oatmeal,Condiments,10,19,8
2023-11-17,Oatmeal,Condiments,5,17,16
2023-11-18,Oatmeal,Condiments,1,22,14
2023-11-19,Oatmeal,Condiments,3,16,19
2023-11-20,Oatmeal,Condiments,2,21,14
2023-11-21,Oatmeal,Condiments,13,35,19
2023-11-22,Oatmeal,Condiments,2,22,8
2023-11-23,Oatmeal,Condiments,4,20,10
2023-11-24,Oatmeal,Condiments,5,10,1
2023-11-25,Oatmeal,Condiments,11,30,13
2023-11-26,Oatmeal,Condiments,1,14,12
2023-11-27,Oatmeal,Condiments,11,23,14
2023-11-28,Oatmeal,Condiments,6,24,5
2023-11-29,Oatmeal,Condiments,11,30,12
2023-11-30,Oatmeal,Condiments,11,20,14
2023-12-01,Oatmeal,Condiments,5,28,19
2023-12-02,Oatmeal,Condiments,13,25,3
2023-12-03,Oatmeal,Condiments,4,12,10
2023-12-04,Oatmeal,Condiments,6,20,10
2023-12-05,Oatmeal,Condiments,2,9,8
2023-12-06,Oatmeal,Condiments,8,23,19
2023-12-07,Oatmeal,Condiments,6,26,19
2023-12-08,Oatmeal,Condiments,15,37,17
2023-12-09,Oatmeal,Condiments,3,11,8
2023-12-10,Oatmeal,Condiments,4,22,8
2023-12-11,Oatmeal,Condiments,12,17,16
2023-12-12,Oatmeal,Condiments,13,36,11
2023-12-13,Oatmeal,Condiments,2,8,20
2023-12-14,Oatmeal,Condiments,4,16,6
2023-12-15,Oatmeal,Condiments,9,22,5
2023-12-16,Oatmeal,Condiments,4,14,8
2023-12-17,Oatmeal,Condiments,13,27,13
2023-12-18,Oatmeal,Condiments,8,17,19
2023-12-19,Oatmeal,Condiments,3,24,7
2023-12-20,Oatmeal,Condiments,13,33,10
2023-12-21,Oatmeal,Condiments,15,26,2
2023-12-22,Oatmeal,Condiments,5,14,17
2023-12-23,Oatmeal,Condiments,2,8,6
2023-12-24,Oatmeal,Condiments,14,19,20
2023-12-25,Oatmeal,Condiments,9,22,9
2023-12-26,Oatmeal,Condiments,9,23,5
2023-12-27,Oatmeal,Condiments,14,34,3
