Date,Product Name,Category,Quantity Sold,Inventory,Surplus
2023-10-13,Wine,Dairy,21,36,13
2023-10-14,Wine,Dairy,2,13,13
2023-10-15,Wine,Dairy,26,42,9
2023-10-16,Wine,Dairy,39,60,20
2023-10-17,Wine,Dairy,17,25,14
2023-10-18,Wine,Dairy,36,46,14
2023-10-19,Wine,Dairy,34,53,9
2023-10-20,Wine,Dairy,19,42,19
2023-10-21,Wine,Dairy,32,47,15
2023-10-22,Wine,Dairy,22,43,6
2023-10-23,Wine,Dairy,45,55,20
2023-10-24,Wine,Dairy,39,47,3
2023-10-25,Wine,Dairy,18,32,5
2023-10-26,Wine,Dairy,24,30,19
2023-10-27,Wine,Dairy,1,17,3
2023-10-28,Wine,Dairy,41,56,19
2023-10-29,Wine,Dairy,2,11,4
2023-10-30,Wine,Dairy,40,52,1
2023-10-31,Wine,Dairy,24,37,2
2023-11-01,Wine,Dairy,40,56,18
2023-11-02,Wine,Dairy,2,22,20
2023-11-03,Wine,Dairy,27,51,5
2023-11-04,Wine,Dairy,2,11,10
2023-11-05,Wine,Dairy,23,32,8
2023-11-06,Wine,Dairy,33,56,8
2023-11-07,Wine,Dairy,34,48,3
2023-11-08,Wine,Dairy,32,41,2
2023-11-09,Wine,Dairy,3,26,6
2023-11-10,Wine,Dairy,27,43,13
2023-11-11,Wine,Dairy,12,24,1
2023-11-12,Wine,Dairy,8,19,11
2023-11-13,Wine,Dairy,20,43,3
2023-11-14,Wine,Dairy,17,26,6
2023-11-15,Wine,Dairy,45,50,3
2023-11-16,Wine,Dairy,33,39,18
2023-11-17,Wine,Dairy,11,19,12
2023-11-18,Wine,Dairy,9,14,8
2023-11-19,Wine,Dairy,34,57,6
2023-11-20,Wine,Dairy,44,56,11
2023-11-21,Wine,Dairy,43,48,18
2023-11-22,Wine,Dairy,7,23,11
2023-11-23,Wine,Dairy,16,40,13
2023-11-24,Wine,Dairy,27,39,5
2023-11-25,Wine,Dairy,15,29,9
2023-11-26,Wine,Dairy,24,39,5
2023-11-27,Wine,Dairy,37,48,10
2023-11-28,Wine,Dairy,49,65,7
2023-11-29,Wine,Dairy,40,53,4
2023-11-30,Wine,Dairy,19,27,16
2023-12-01,Wine,Dairy,23,43,5
2023-12-02,Wine,Dairy,39,50,14
2023-12-03,Wine,Dairy,31,53,8
2023-12-04,Wine,Dairy,30,45,5
2023-12-05,Wine,Dairy,7,25,1
2023-12-06,Wine,Dairy,45,52,12
2023-12-07,Wine,Dairy,3,19,18
2023-12-08,Wine,Dairy,38,60,9
2023-12-09,Wine,Dairy,48,55,3
2023-12-10,Wine,Dairy,30,52,7
2023-12-11,Wine,Dairy,10,28,18
2023-12-12,Wine,Dairy,34,43,12
2023-12-13,Wine,Dairy,13,19,14
2023-12-14,Wine,Dairy,39,55,1
2023-12-15,Wine,Dairy,13,35,12
2023-12-16,Wine,Dairy,25,30,1
2023-12-17,Wine,Dairy,41,62,9
2023-12-18,Wine,Dairy,34,47,4
2023-12-19,Wine,Dairy,40,59,11
2023-12-20,Wine,Dairy,40,47,20
2023-12-21,Wine,Dairy,40,57,12
2023-12-22,Wine,Dairy,34,50,6
2023-12-23,Wine,Dairy,15,29,20
2023-12-24,Wine,Dairy,3,16,16
2023-12-25,Wine,Dairy,46,55,5
2023-12-26,Wine,Dairy,22,31,14
2023-12-27,Wine,Dairy,34,54,17
2023-12-28,Wine,Dairy,5,11,14
2023-12-29,Wine,Dairy,41,59,8
