Date,Product Name,Category,Quantity Sold,Inventory,Surplus
2023-10-13,Rice,Frozen,59,75,16
2023-10-14,Rice,Frozen,31,41,12
2023-10-15,Rice,Frozen,21,27,6
2023-10-16,Rice,Frozen,40,59,18
2023-10-17,Rice,Frozen,61,71,5
2023-10-18,Rice,Frozen,51,69,9
2023-10-19,Rice,Frozen,9,23,14
2023-10-20,Rice,Frozen,21,30,1
2023-10-21,Rice,Frozen,9,27,20
2023-10-22,Rice,Frozen,10,20,6
2023-10-23,Rice,Frozen,41,46,8
2023-10-24,Rice,Frozen,44,60,7
2023-10-25,Rice,Frozen,12,20,12
2023-10-26,Rice,Frozen,11,16,12
2023-10-27,Rice,Frozen,20,38,15
2023-10-28,Rice,Frozen,50,72,2
2023-10-29,Rice,Frozen,64,84,11
2023-10-30,Rice,Frozen,64,86,14
2023-10-31,Rice,Frozen,63,75,5
2023-11-01,Rice,Frozen,39,53,12
2023-11-02,Rice,Frozen,33,51,3
2023-11-03,Rice,Frozen,64,73,11
2023-11-04,Rice,Frozen,7,13,13
2023-11-05,Rice,Frozen,1,13,6
2023-11-06,Rice,Frozen,14,37,18
2023-11-07,Rice,Frozen,45,62,6
2023-11-08,Rice,Frozen,21,27,12
2023-11-09,Rice,Frozen,45,53,16
2023-11-10,Rice,Frozen,49,67,14
2023-11-11,Rice,Frozen,8,16,5
2023-11-12,Rice,Frozen,17,28,14
2023-11-13,Rice,Frozen,62,83,2
2023-11-14,Rice,Frozen,45,62,11
2023-11-15,Rice,Frozen,54,67,14
2023-11-16,Rice,Frozen,63,71,14
2023-11-17,Rice,Frozen,49,61,7
2023-11-18,Rice,Frozen,15,26,4
2023-11-19,Rice,Frozen,2,8,18
2023-11-20,Rice,Frozen,13,34,19
2023-11-21,Rice,Frozen,52,58,16
2023-11-22,Rice,Frozen,29,53,17
2023-11-23,Rice,Frozen,28,39,15
2023-11-24,Rice,Frozen,8,26,2
2023-11-25,Rice,Frozen,35,50,8
2023-11-26,Rice,Frozen,63,87,20
2023-11-27,Rice,Frozen,24,36,2
2023-11-28,Rice,Frozen,7,28,15
2023-11-29,Rice,Frozen,28,50,3
2023-11-30,Rice,Frozen,22,44,13
2023-12-01,Rice,Frozen,26,47,2
2023-12-02,Rice,Frozen,17,25,10
2023-12-03,Rice,Frozen,63,69,13
2023-12-04,Rice,Frozen,38,47,18
2023-12-05,Rice,Frozen,6,24,15
2023-12-06,Rice,Frozen,58,78,20
2023-12-07,Rice,Frozen,56,76,20
2023-12-08,Rice,Frozen,11,19,7
2023-12-09,Rice,Frozen,38,54,16
2023-12-10,Rice,Frozen,2,26,11
2023-12-11,Rice,Frozen,63,86,17
2023-12-12,Rice,Frozen,32,40,9
2023-12-13,Rice,Frozen,26,38,11
2023-12-14,Rice,Frozen,31,52,18
2023-12-15,Rice,Frozen,32,48,4
2023-12-16,Rice,Frozen,35,59,11
2023-12-17,Rice,Frozen,2,22,9
2023-12-18,Rice,Frozen,3,13,10
2023-12-19,Rice,Frozen,33,39,17
2023-12-20,Rice,Frozen,7,19,7
2023-12-21,Rice,Frozen,21,37,15
2023-12-22,Rice,Frozen,48,55,8
2023-12-23,Rice,Frozen,25,43,4
2023-12-24,Rice,Frozen,16,26,9
2023-12-25,Rice,Frozen,23,34,18
2023-12-26,Rice,Frozen,17,38,20
2023-12-27,Rice,Frozen,33,39,18
2023-12-28,Rice,Frozen,18,42,13
2023-12-29,Rice,Frozen,39,57,13
2023-12-30,Rice,Frozen,23,42,17
2023-12-31,Rice,Frozen,9,30,14
2024-01-01,Rice,Frozen,3,21,15
2024-01-02,Rice,Frozen,48,66,20
2024-01-03,Rice,Frozen,35,52,3
2024-01-04,Rice,Frozen,62,71,4
2024-01-05,Rice,Frozen,24,41,2
2024-01-06,Rice,Frozen,6,25,13
2024-01-07,Rice,Frozen,19,35,19
2024-01-08,Rice,Frozen,56,61,18
2024-01-09,Rice,Frozen,14,34,2
2024-01-10,Rice,Frozen,3,13,8
2024-01-11,Rice,Frozen,6,20,1
2024-01-12,Rice,Frozen,17,28,11
2024-01-13,Rice,Frozen,36,41,7
2024-01-14,Rice,Frozen,22,27,17
2024-01-15,Rice,Frozen,53,71,3
2024-01-16,Rice,Frozen,4,22,14
2024-01-17,Rice,Frozen,10,28,13
2024-01-18,Rice,Frozen,32,51,1
2024-01-19,Rice,Frozen,63,75,6
2024-01-20,Rice,Frozen,47,65,1
2024-01-21,Rice,Frozen,49,55,6
2024-01-22,Rice,Frozen,52,76,2
2024-01-23,Rice,Frozen,49,60,15
2024-01-24,Rice,Frozen,43,63,20
2024-01-25,Rice,Frozen,58,81,9
2024-01-26,Rice,Frozen,4,9,8
2024-01-27,Rice,Frozen,13,23,11
2024-01-28,Rice,Frozen,19,27,19
2024-01-29,Rice,Frozen,46,54,3
2024-01-30,Rice,Frozen,55,78,17
2024-01-31,Rice,Frozen,43,60,8
2024-02-01,Rice,Frozen,54,75,18
2024-02-02,Rice,Frozen,38,61,18
2024-02-03,Rice,Frozen,48,57,15
2024-02-04,Rice,Frozen,26,50,6
2024-02-05,Rice,Frozen,30,36,12
2024-02-06,Rice,Frozen,43,59,16
2024-02-07,Rice,Frozen,31,44,14
2024-02-08,Rice,Frozen,51,67,3
2024-02-09,Rice,Frozen,38,45,13
2024-02-10,Rice,Frozen,12,32,18
2024-02-11,Rice,Frozen,19,28,5
2024-02-12,Rice,Frozen,23,35,15
2024-02-13,Rice,Frozen,50,64,6
2024-02-14,Rice,Frozen,46,53,11
2024-02-15,Rice,Frozen,41,55,6
2024-02-16,Rice,Frozen,10,16,12
2024-02-17,Rice,Frozen,15,25,5
2024-02-18,Rice,Frozen,50,66,10
2024-02-19,Rice,Frozen,17,35,4
2024-02-20,Rice,Frozen,52,62,7
2024-02-21,Rice,Frozen,13,21,15
2024-02-22,Rice,Frozen,24,35,16
2024-02-23,Rice,Frozen,16,25,17
2024-02-24,Rice,Frozen,39,51,15
2024-02-25,Rice,Frozen,38,55,2
2024-02-26,Rice,Frozen,30,35,17
2024-02-27,Rice,Frozen,45,53,6
2024-02-28,Rice,Frozen,58,77,14
2024-02-29,Rice,Frozen,44,66,19
2024-03-01,Rice,Frozen,55,64,14
2024-03-02,Rice,Frozen,15,26,4
2024-03-03,Rice,Frozen,4,13,20
2024-03-04,Rice,Frozen,56,70,13
2024-03-05,Rice,Frozen,44,60,15
2024-03-06,Rice,Frozen,52,69,10
2024-03-07,Rice,Frozen,10,27,4
2024-03-08,Rice,Frozen,40,57,15
2024-03-09,Rice,Frozen,46,65,2
2024-03-10,Rice,Frozen,59,75,7
2024-03-11,Rice,Frozen,46,54,5
2024-03-12,Rice,Frozen,32,37,10
2024-03-13,Rice,Frozen,21,40,12
2024-03-14,Rice,Frozen,29,42,12
2024-03-15,Rice,Frozen,30,36,14
2024-03-16,Rice,Frozen,57,73,10
2024-03-17,Rice,Frozen,7,15,9
2024-03-18,Rice,Frozen,42,63,13
2024-03-19,Rice,Frozen,29,36,12
2024-03-20,Rice,Frozen,63,74,16
2024-03-21,Rice,Frozen,10,15,1
2024-03-22,Rice,Frozen,54,78,9
2024-03-23,Rice,Frozen,50,59,10
2024-03-24,Rice,Frozen,22,43,14
2024-03-25,Rice,Frozen,60,78,15
2024-03-26,Rice,Frozen,17,32,13
2024-03-27,Rice,Frozen,18,36,12
2024-03-28,Rice,Frozen,46,65,1
2024-03-29,Rice,Frozen,5,28,8
2024-03-30,Rice,Frozen,61,68,17
2024-03-31,Rice,Frozen,39,59,20
2024-04-01,Rice,Frozen,17,37,1
2024-04-02,Rice,Frozen,34,54,5
2024-04-03,Rice,Frozen,4,10,1
2024-04-04,Rice,Frozen,41,60,5
2024-04-05,Rice,Frozen,8,29,19
2024-04-06,Rice,Frozen,26,37,6
2024-04-07,Rice,Frozen,25,45,7
2024-04-08,Rice,Frozen,36,45,13
2024-04-09,Rice,Frozen,43,61,10
2024-04-10,Rice,Frozen,39,55,11
2024-04-11,Rice,Frozen,11,27,20
2024-04-12,Rice,Frozen,3,10,20
2024-04-13,Rice,Frozen,44,51,12
2024-04-14,Rice,Frozen,40,51,4
2024-04-15,Rice,Frozen,64,85,11
2024-04-16,Rice,Frozen,28,38,20
2024-04-17,Rice,Frozen,39,46,11
2024-04-18,Rice,Frozen,56,68,20
2024-04-19,Rice,Frozen,25,43,4
2024-04-20,Rice,Frozen,22,41,14
2024-04-21,Rice,Frozen,13,27,5
2024-04-22,Rice,Frozen,4,20,15
2024-04-23,Rice,Frozen,28,42,12
2024-04-24,Rice,Frozen,19,39,2
2024-04-25,Rice,Frozen,3,17,18
2024-04-26,Rice,Frozen,62,82,15
2024-04-27,Rice,Frozen,27,50,6
2024-04-28,Rice,Frozen,61,85,2
2024-04-29,Rice,Frozen,59,73,14
2024-04-30,Rice,Frozen,11,28,12
2024-05-01,Rice,Frozen,6,14,8
2024-05-02,Rice,Frozen,48,56,1
2024-05-03,Rice,Frozen,31,42,16
2024-05-04,Rice,Frozen,56,66,13
2024-05-05,Rice,Frozen,29,51,17
2024-05-06,Rice,Frozen,8,21,18
2024-05-07,Rice,Frozen,11,35,19
2024-05-08,Rice,Frozen,56,71,17
2024-05-09,Rice,Frozen,9,22,6
2024-05-10,Rice,Frozen,31,51,1
2024-05-11,Rice,Frozen,1,17,2
2024-05-12,Rice,Frozen,7,30,20
2024-05-13,Rice,Frozen,10,20,1
2024-05-14,Rice,Frozen,9,20,11
2024-05-15,Rice,Frozen,63,80,18
2024-05-16,Rice,Frozen,13,34,10
2024-05-17,Rice,Frozen,27,36,9
2024-05-18,Rice,Frozen,18,37,9
2024-05-19,Rice,Frozen,16,39,12
2024-05-20,Rice,Frozen,4,25,12
2024-05-21,Rice,Frozen,30,35,4
2024-05-22,Rice,Frozen,38,49,6
2024-05-23,Rice,Frozen,20,30,12
2024-05-24,Rice,Frozen,41,62,1
2024-05-25,Rice,Frozen,58,66,19
2024-05-26,Rice,Frozen,12,26,11
2024-05-27,Rice,Frozen,28,41,13
2024-05-28,Rice,Frozen,44,62,19
2024-05-29,Rice,Frozen,1,9,1
2024-05-30,Rice,Frozen,9,31,11
2024-05-31,Rice,Frozen,42,52,16
2024-06-01,Rice,Frozen,49,56,19
2024-06-02,Rice,Frozen,33,51,18
2024-06-03,Rice,Frozen,53,58,9
2024-06-04,Rice,Frozen,1,10,2
2024-06-05,Rice,Frozen,42,60,12
2024-06-06,Rice,Frozen,9,22,3
2024-06-07,Rice,Frozen,22,42,13
2024-06-08,Rice,Frozen,62,79,11
2024-06-09,Rice,Frozen,9,17,18
2024-06-10,Rice,Frozen,5,10,17
2024-06-11,Rice,Frozen,54,74,3
2024-06-12,Rice,Frozen,2,10,8
2024-06-13,Rice,Frozen,14,22,18
2024-06-14,Rice,Frozen,12,21,3
2024-06-15,Rice,Frozen,29,36,12
2024-06-16,Rice,Frozen,16,28,17
2024-06-17,Rice,Frozen,48,68,16
2024-06-18,Rice,Frozen,9,33,8
2024-06-19,Rice,Frozen,51,58,8
2024-06-20,Rice,Frozen,32,55,2
2024-06-21,Rice,Frozen,53,75,2
2024-06-22,Rice,Frozen,24,40,17
2024-06-23,Rice,Frozen,53,62,4
2024-06-24,Rice,Frozen,58,78,7
2024-06-25,Rice,Frozen,20,35,20
2024-06-26,Rice,Frozen,20,41,6
2024-06-27,Rice,Frozen,60,76,13
2024-06-28,Rice,Frozen,53,62,8
2024-06-29,Rice,Frozen,51,66,7
2024-06-30,Rice,Frozen,42,53,2
2024-07-01,Rice,Frozen,43,63,16
2024-07-02,Rice,Frozen,52,74,1
2024-07-03,Rice,Frozen,5,10,13
2024-07-04,Rice,Frozen,20,40,19
2024-07-05,Rice,Frozen,16,22,7
2024-07-06,Rice,Frozen,19,35,3
2024-07-07,Rice,Frozen,12,25,7
2024-07-08,Rice,Frozen,17,39,12
2024-07-09,Rice,Frozen,34,41,10
2024-07-10,Rice,Frozen,27,40,12
2024-07-11,Rice,Frozen,41,62,16
