Date,Product Name,Category,Quantity Sold,Inventory,Surplus
2023-10-13,Bananas,Meat,45,57,13
2023-10-14,Bananas,Meat,39,53,17
2023-10-15,Bananas,Meat,43,66,5
2023-10-16,Bananas,Meat,47,58,14
2023-10-17,Bananas,Meat,6,25,4
2023-10-18,Bananas,Meat,54,62,16
2023-10-19,Bananas,Meat,6,13,1
2023-10-20,Bananas,Meat,11,28,15
2023-10-21,Bananas,Meat,27,40,5
2023-10-22,Bananas,Meat,16,24,11
2023-10-23,Bananas,Meat,45,57,10
2023-10-24,Bananas,Meat,3,26,6
2023-10-25,Bananas,Meat,22,35,11
2023-10-26,Bananas,Meat,32,49,15
2023-10-27,Bananas,Meat,25,35,8
2023-10-28,Bananas,Meat,18,41,6
2023-10-29,Bananas,Meat,19,25,14
2023-10-30,Bananas,Meat,48,57,16
2023-10-31,Bananas,Meat,30,50,17
2023-11-01,Bananas,Meat,35,58,16
2023-11-02,Bananas,Meat,51,66,13
2023-11-03,Bananas,Meat,46,65,15
2023-11-04,Bananas,Meat,54,73,14
2023-11-05,Bananas,Meat,27,48,17
2023-11-06,Bananas,Meat,18,28,5
2023-11-07,Bananas,Meat,13,20,18
2023-11-08,Bananas,Meat,44,49,18
2023-11-09,Bananas,Meat,57,65,1
2023-11-10,Bananas,Meat,31,54,18
2023-11-11,Bananas,Meat,53,77,14
2023-11-12,Bananas,Meat,3,22,1
2023-11-13,Bananas,Meat,31,55,15
2023-11-14,Bananas,Meat,24,34,1
2023-11-15,Bananas,Meat,55,64,4
2023-11-16,Bananas,Meat,37,42,3
2023-11-17,Bananas,Meat,22,28,11
2023-11-18,Bananas,Meat,33,45,4
2023-11-19,Bananas,Meat,45,58,20
2023-11-20,Bananas,Meat,61,69,13
2023-11-21,Bananas,Meat,15,34,17
2023-11-22,Bananas,Meat,38,53,10
2023-11-23,Bananas,Meat,59,74,13
2023-11-24,Bananas,Meat,42,58,14
2023-11-25,Bananas,Meat,14,24,20
2023-11-26,Bananas,Meat,48,69,17
2023-11-27,Bananas,Meat,60,76,1
2023-11-28,Bananas,Meat,15,39,17
2023-11-29,Bananas,Meat,56,66,17
2023-11-30,Bananas,Meat,29,39,9
2023-12-01,Bananas,Meat,26,38,19
2023-12-02,Bananas,Meat,22,30,18
2023-12-03,Bananas,Meat,4,9,16
2023-12-04,Bananas,Meat,33,54,1
2023-12-05,Bananas,Meat,57,63,16
