Date,Product Name,Category,Quantity Sold,Inventory,Surplus
2023-10-13,Beef,Produce,15,37,17
2023-10-14,Beef,Produce,22,36,5
2023-10-15,Beef,Produce,22,32,9
2023-10-16,Beef,Produce,12,17,6
2023-10-17,Beef,Produce,9,31,13
2023-10-18,Beef,Produce,15,27,14
2023-10-19,Beef,Produce,13,21,14
2023-10-20,Beef,Produce,11,25,4
2023-10-21,Beef,Produce,20,30,6
2023-10-22,Beef,Produce,26,38,3
2023-10-23,Beef,Produce,15,23,14
2023-10-24,Beef,Produce,18,41,11
2023-10-25,Beef,Produce,2,9,1
2023-10-26,Beef,Produce,12,36,6
2023-10-27,Beef,Produce,25,45,1
2023-10-28,Beef,Produce,4,18,2
2023-10-29,Beef,Produce,10,27,1
2023-10-30,Beef,Produce,9,31,14
2023-10-31,Beef,Produce,14,29,10
2023-11-01,Beef,Produce,16,33,12
2023-11-02,Beef,Produce,1,17,8
2023-11-03,Beef,Produce,12,29,13
2023-11-04,Beef,Produce,2,18,18
2023-11-05,Beef,Produce,15,36,11
2023-11-06,Beef,Produce,23,42,14
2023-11-07,Beef,Produce,14,34,2
2023-11-08,Beef,Produce,11,26,12
2023-11-09,Beef,Produce,23,35,3
2023-11-10,Beef,Produce,1,9,17
2023-11-11,Beef,Produce,16,32,20
2023-11-12,Beef,Produce,24,36,9
2023-11-13,Beef,Produce,7,15,19
2023-11-14,Beef,Produce,13,26,12
2023-11-15,Beef,Produce,26,49,7
2023-11-16,Beef,Produce,2,12,9
2023-11-17,Beef,Produce,17,41,4
2023-11-18,Beef,Produce,18,41,13
2023-11-19,Beef,Produce,23,44,2
2023-11-20,Beef,Produce,14,25,17
2023-11-21,Beef,Produce,26,32,6
2023-11-22,Beef,Produce,4,20,11
2023-11-23,Beef,Produce,6,14,2
2023-11-24,Beef,Produce,16,22,8
2023-11-25,Beef,Produce,21,33,9
2023-11-26,Beef,Produce,11,30,10
2023-11-27,Beef,Produce,15,22,3
2023-11-28,Beef,Produce,8,30,12
2023-11-29,Beef,Produce,7,23,3
2023-11-30,Beef,Produce,14,19,19
2023-12-01,Beef,Produce,15,31,3
2023-12-02,Beef,Produce,7,26,20
2023-12-03,Beef,Produce,11,30,13
2023-12-04,Beef,Produce,11,26,6
2023-12-05,Beef,Produce,9,28,9
2023-12-06,Beef,Produce,20,28,7
2023-12-07,Beef,Produce,25,31,9
2023-12-08,Beef,Produce,19,31,7
2023-12-09,Beef,Produce,19,30,14
2023-12-10,Beef,Produce,21,30,20
2023-12-11,Beef,Produce,10,31,5
2023-12-12,Beef,Produce,3,21,9
2023-12-13,Beef,Produce,9,26,18
2023-12-14,Beef,Produce,16,34,16
2023-12-15,Beef,Produce,14,34,4
2023-12-16,Beef,Produce,17,39,7
2023-12-17,Beef,Produce,6,12,3
2023-12-18,Beef,Produce,7,26,1
2023-12-19,Beef,Produce,1,8,10
2023-12-20,Beef,Produce,21,40,9
2023-12-21,Beef,Produce,25,48,19
2023-12-22,Beef,Produce,14,27,17
2023-12-23,Beef,Produce,12,24,20
2023-12-24,Beef,Produce,6,17,6
2023-12-25,Beef,Produce,4,22,12
2023-12-26,Beef,Produce,20,28,13
2023-12-27,Beef,Produce,21,38,19
2023-12-28,Beef,Produce,5,27,2
2023-12-29,Beef,Produce,22,33,7
2023-12-30,Beef,Produce,14,20,2
2023-12-31,Beef,Produce,3,22,11
2024-01-01,Beef,Produce,15,33,8
2024-01-02,Beef,Produce,20,35,4
2024-01-03,Beef,Produce,21,33,12
2024-01-04,Beef,Produce,18,41,8
2024-01-05,Beef,Produce,12,33,15
2024-01-06,Beef,Produce,26,35,13
2024-01-07,Beef,Produce,20,31,9
2024-01-08,Beef,Produce,23,44,20
2024-01-09,Beef,Produce,16,23,1
2024-01-10,Beef,Produce,4,18,6
2024-01-11,Beef,Produce,24,29,11
2024-01-12,Beef,Produce,1,24,10
2024-01-13,Beef,Produce,9,18,2
2024-01-14,Beef,Produce,5,29,13
2024-01-15,Beef,Produce,18,28,3
2024-01-16,Beef,Produce,22,44,8
2024-01-17,Beef,Produce,4,19,1
2024-01-18,Beef,Produce,8,28,15
2024-01-19,Beef,Produce,24,43,12
2024-01-20,Beef,Produce,10,34,19
2024-01-21,Beef,Produce,7,13,16
2024-01-22,Beef,Produce,3,24,10
2024-01-23,Beef,Produce,10,30,19
2024-01-24,Beef,Produce,16,27,9
2024-01-25,Beef,Produce,20,42,7
2024-01-26,Beef,Produce,3,26,16
2024-01-27,Beef,Produce,17,30,4
2024-01-28,Beef,Produce,23,31,4
2024-01-29,Beef,Produce,10,31,8
2024-01-30,Beef,Produce,24,32,6
2024-01-31,Beef,Produce,11,31,17
2024-02-01,Beef,Produce,8,23,19
2024-02-02,Beef,Produce,8,15,2
2024-02-03,Beef,Produce,15,22,5
2024-02-04,Beef,Produce,17,29,17
2024-02-05,Beef,Produce,1,11,7
2024-02-06,Beef,Produce,10,22,18
2024-02-07,Beef,Produce,16,35,8
2024-02-08,Beef,Produce,5,24,20
2024-02-09,Beef,Produce,11,28,2
2024-02-10,Beef,Produce,26,34,3
2024-02-11,Beef,Produce,19,37,7
2024-02-12,Beef,Produce,1,20,3
2024-02-13,Beef,Produce,11,33,13
2024-02-14,Beef,Produce,18,38,15
2024-02-15,Beef,Produce,8,31,12
2024-02-16,Beef,Produce,21,39,4
2024-02-17,Beef,Produce,14,23,7
2024-02-18,Beef,Produce,20,44,17
2024-02-19,Beef,Produce,2,26,12
2024-02-20,Beef,Produce,8,29,15
2024-02-21,Beef,Produce,22,30,14
2024-02-22,Beef,Produce,11,29,14
2024-02-23,Beef,Produce,8,31,17
2024-02-24,Beef,Produce,1,13,17
2024-02-25,Beef,Produce,15,31,13
2024-02-26,Beef,Produce,19,26,5
2024-02-27,Beef,Produce,17,33,18
2024-02-28,Beef,Produce,20,37,13
2024-02-29,Beef,Produce,21,42,17
2024-03-01,Beef,Produce,15,21,3
2024-03-02,Beef,Produce,22,40,6
2024-03-03,Beef,Produce,13,30,2
2024-03-04,Beef,Produce,6,17,1
2024-03-05,Beef,Produce,23,31,12
2024-03-06,Beef,Produce,22,30,11
2024-03-07,Beef,Produce,3,8,13
2024-03-08,Beef,Produce,15,38,3
2024-03-09,Beef,Produce,18,38,20
2024-03-10,Beef,Produce,13,33,3
2024-03-11,Beef,Produce,15,21,3
2024-03-12,Beef,Produce,24,44,10
2024-03-13,Beef,Produce,22,38,6
2024-03-14,Beef,Produce,12,17,18
2024-03-15,Beef,Produce,16,33,1
2024-03-16,Beef,Produce,12,24,11
2024-03-17,Beef,Produce,17,32,16
2024-03-18,Beef,Produce,26,42,10
2024-03-19,Beef,Produce,26,32,13
2024-03-20,Beef,Produce,13,19,11
2024-03-21,Beef,Produce,9,19,1
2024-03-22,Beef,Produce,18,41,9
2024-03-23,Beef,Produce,10,30,13
2024-03-24,Beef,Produce,13,23,17
2024-03-25,Beef,Produce,11,30,9
2024-03-26,Beef,Produce,21,34,5
2024-03-27,Beef,Produce,18,26,12
2024-03-28,Beef,Produce,25,34,10
2024-03-29,Beef,Produce,9,30,6
2024-03-30,Beef,Produce,19,32,13
2024-03-31,Beef,Produce,11,25,6
2024-04-01,Beef,Produce,18,26,15
2024-04-02,Beef,Produce,8,31,3
2024-04-03,Beef,Produce,25,48,15
2024-04-04,Beef,Produce,18,42,20
2024-04-05,Beef,Produce,14,37,6
2024-04-06,Beef,Produce,25,38,13
2024-04-07,Beef,Produce,19,31,17
2024-04-08,Beef,Produce,1,13,18
2024-04-09,Beef,Produce,6,26,9
2024-04-10,Beef,Produce,18,23,2
2024-04-11,Beef,Produce,17,27,7
2024-04-12,Beef,Produce,14,28,19
2024-04-13,Beef,Produce,20,37,13
2024-04-14,Beef,Produce,13,36,12
2024-04-15,Beef,Produce,15,23,12
2024-04-16,Beef,Produce,25,45,20
2024-04-17,Beef,Produce,8,28,12
2024-04-18,Beef,Produce,19,37,7
2024-04-19,Beef,Produce,8,30,10
2024-04-20,Beef,Produce,22,31,11
2024-04-21,Beef,Produce,21,33,9
2024-04-22,Beef,Produce,17,26,7
2024-04-23,Beef,Produce,9,23,20
2024-04-24,Beef,Produce,18,29,3
2024-04-25,Beef,Produce,9,31,10
2024-04-26,Beef,Produce,21,33,9
2024-04-27,Beef,Produce,3,10,10
