Date,Product Name,Category,Quantity Sold,Inventory,Surplus
2023-10-13,Soda,Snacks,12,28,20
2023-10-14,Soda,Snacks,32,38,6
2023-10-15,Soda,Snacks,22,32,18
2023-10-16,Soda,Snacks,27,45,20
2023-10-17,Soda,Snacks,58,65,19
2023-10-18,Soda,Snacks,37,56,15
2023-10-19,Soda,Snacks,51,71,2
2023-10-20,Soda,Snacks,47,57,3
2023-10-21,Soda,Snacks,57,74,12
2023-10-22,Soda,Snacks,50,74,5
2023-10-23,Soda,Snacks,26,46,11
2023-10-24,Soda,Snacks,31,51,10
2023-10-25,Soda,Snacks,29,50,19
2023-10-26,Soda,Snacks,31,40,17
2023-10-27,Soda,Snacks,24,44,2
2023-10-28,Soda,Snacks,63,69,8
2023-10-29,Soda,Snacks,4,28,14
2023-10-30,Soda,Snacks,46,67,2
2023-10-31,Soda,Snacks,14,24,9
2023-11-01,Soda,Snacks,13,35,5
2023-11-02,Soda,Snacks,23,38,5
2023-11-03,Soda,Snacks,8,19,4
2023-11-04,Soda,Snacks,13,22,9
2023-11-05,Soda,Snacks,60,75,17
2023-11-06,Soda,Snacks,1,15,7
2023-11-07,Soda,Snacks,58,71,12
2023-11-08,Soda,Snacks,63,86,16
2023-11-09,Soda,Snacks,27,44,6
2023-11-10,Soda,Snacks,17,37,10
2023-11-11,Soda,Snacks,41,58,6
2023-11-12,Soda,Snacks,9,30,3
2023-11-13,Soda,Snacks,27,37,11
2023-11-14,Soda,Snacks,26,42,4
2023-11-15,Soda,Snacks,49,64,6
2023-11-16,Soda,Snacks,21,26,16
2023-11-17,Soda,Snacks,43,50,8
2023-11-18,Soda,Snacks,46,61,5
2023-11-19,Soda,Snacks,48,66,14
2023-11-20,Soda,Snacks,4,26,10
2023-11-21,Soda,Snacks,14,26,4
2023-11-22,Soda,Snacks,42,60,16
2023-11-23,Soda,Snacks,45,60,2
2023-11-24,Soda,Snacks,59,78,8
2023-11-25,Soda,Snacks,11,27,10
2023-11-26,Soda,Snacks,62,81,11
2023-11-27,Soda,Snacks,4,9,12
2023-11-28,Soda,Snacks,59,73,19
2023-11-29,Soda,Snacks,34,49,19
2023-11-30,Soda,Snacks,5,18,19
2023-12-01,Soda,Snacks,59,73,2
2023-12-02,Soda,Snacks,32,37,20
2023-12-03,Soda,Snacks,16,40,11
2023-12-04,Soda,Snacks,28,43,8
2023-12-05,Soda,Snacks,2,16,10
2023-12-06,Soda,Snacks,35,42,19
2023-12-07,Soda,Snacks,8,15,17
2023-12-08,Soda,Snacks,57,70,19
2023-12-09,Soda,Snacks,25,37,13
2023-12-10,Soda,Snacks,63,69,2
2023-12-11,Soda,Snacks,23,39,12
2023-12-12,Soda,Snacks,36,57,9
2023-12-13,Soda,Snacks,25,32,8
2023-12-14,Soda,Snacks,17,39,20
2023-12-15,Soda,Snacks,63,74,5
2023-12-16,Soda,Snacks,50,65,16
2023-12-17,Soda,Snacks,64,79,8
2023-12-18,Soda,Snacks,26,32,7
2023-12-19,Soda,Snacks,46,65,14
2023-12-20,Soda,Snacks,37,54,8
2023-12-21,Soda,Snacks,21,38,7
2023-12-22,Soda,Snacks,5,13,8
2023-12-23,Soda,Snacks,24,46,13
2023-12-24,Soda,Snacks,10,28,12
2023-12-25,Soda,Snacks,2,26,1
2023-12-26,Soda,Snacks,26,31,20
2023-12-27,Soda,Snacks,9,18,18
2023-12-28,Soda,Snacks,48,67,15
2023-12-29,Soda,Snacks,53,58,9
2023-12-30,Soda,Snacks,30,38,18
2023-12-31,Soda,Snacks,39,47,17
2024-01-01,Soda,Snacks,57,65,8
