Date,Product Name,Category,Quantity Sold,Inventory,Surplus
2023-10-13,Salt,Staples,30,52,2
2023-10-14,Salt,Staples,28,38,2
2023-10-15,Salt,Staples,56,80,5
2023-10-16,Salt,Staples,23,32,11
2023-10-17,Salt,Staples,15,37,18
2023-10-18,Salt,Staples,48,60,19
2023-10-19,Salt,Staples,11,29,7
2023-10-20,Salt,Staples,43,57,17
2023-10-21,Salt,Staples,21,29,20
2023-10-22,Salt,Staples,45,68,14
2023-10-23,Salt,Staples,39,48,7
2023-10-24,Salt,Staples,31,52,16
2023-10-25,Salt,Staples,15,38,2
2023-10-26,Salt,Staples,17,34,6
2023-10-27,Salt,Staples,25,31,7
2023-10-28,Salt,Staples,24,38,16
2023-10-29,Salt,Staples,45,54,4
2023-10-30,Salt,Staples,36,43,2
2023-10-31,Salt,Staples,33,53,9
2023-11-01,Salt,Staples,44,58,1
2023-11-02,Salt,Staples,4,9,10
2023-11-03,Salt,Staples,1,11,2
2023-11-04,Salt,Staples,38,45,2
2023-11-05,Salt,Staples,56,66,17
2023-11-06,Salt,Staples,11,33,11
2023-11-07,Salt,Staples,21,33,17
2023-11-08,Salt,Staples,25,31,17
2023-11-09,Salt,Staples,50,64,19
2023-11-10,Salt,Staples,28,43,7
2023-11-11,Salt,Staples,50,72,5
2023-11-12,Salt,Staples,52,75,12
2023-11-13,Salt,Staples,6,20,15
2023-11-14,Salt,Staples,46,63,7
2023-11-15,Salt,Staples,6,14,8
2023-11-16,Salt,Staples,22,39,15
2023-11-17,Salt,Staples,15,27,10
2023-11-18,Salt,Staples,54,74,10
2023-11-19,Salt,Staples,33,44,15
2023-11-20,Salt,Staples,17,35,9
2023-11-21,Salt,Staples,12,21,19
2023-11-22,Salt,Staples,31,39,16
2023-11-23,Salt,Staples,35,44,19
2023-11-24,Salt,Staples,34,48,20
2023-11-25,Salt,Staples,32,38,14
2023-11-26,Salt,Staples,23,31,3
2023-11-27,Salt,Staples,38,51,11
2023-11-28,Salt,Staples,5,29,14
2023-11-29,Salt,Staples,40,50,18
2023-11-30,Salt,Staples,2,10,18
2023-12-01,Salt,Staples,31,39,20
2023-12-02,Salt,Staples,12,36,2
2023-12-03,Salt,Staples,39,63,9
2023-12-04,Salt,Staples,46,67,2
2023-12-05,Salt,Staples,42,61,15
2023-12-06,Salt,Staples,20,29,11
2023-12-07,Salt,Staples,14,37,5
2023-12-08,Salt,Staples,11,33,17
2023-12-09,Salt,Staples,31,51,17
2023-12-10,Salt,Staples,51,59,7
2023-12-11,Salt,Staples,33,51,5
2023-12-12,Salt,Staples,26,38,1
2023-12-13,Salt,Staples,2,23,7
2023-12-14,Salt,Staples,31,38,4
2023-12-15,Salt,Staples,55,73,16
2023-12-16,Salt,Staples,35,47,17
2023-12-17,Salt,Staples,27,51,3
2023-12-18,Salt,Staples,5,29,2
2023-12-19,Salt,Staples,11,22,8
2023-12-20,Salt,Staples,51,75,4
2023-12-21,Salt,Staples,39,52,12
